Iteration	1	2	3	4	5	simmap
13900	{3,2.81807:6,0.0155294:2,0.0717353:6,0.0128083:3,0.0105526:5,0.0131761:7,0.0118941:5,0.00685472:7,0.0347883:4,0.00503164:1,0.0464252:4,0.000185691:1,0.058112:4,0.00181356:1,0.115287:4,0.0139525:1,0.0323244:4,0.0554354:1,0.0672452:4,0.0229094:2,0.0183197:4,0.00167766:1,0.0122494:4,0.0182115:2,0.0334391:4,0.00367216:2,0.122908:4,0.0401955:2,0.0458284:6,0.0415095:3,0.0291316:5,0.00848908:3,0.072907}	{2,0.677118:4,0.0204038:2,0.177833:4,0.00978166:1,0.0274223:4,0.00539976:1,0.214465:4,0.0151111:1,0.00776887:4,0.0190447:2,0.082971:4,0.00688348:2,0.0629009:4,0.0203609:1,0.223258:4,0.0124444:1,0.0384518:4,0.0199282:2,0.0908002}	{1,0.655109:4,0.026831:2,0.105608:4,0.00640813:2,0.0240888:4,0.0170681:1,0.0180027:4,0.0216203:2,0.133916:4,0.00631024:2,0.00696161:4,0.0115327:2,0.0894829:4,0.00315264:2,0.478243:4,0.0288153:1,0.0737968:4,0.00382186:1,0.0215783}	{4,0.00457353:2,0.207125:4,0.0227766:2,0.0355249:4,0.00951694:2,0.0737701:4,0.0055197:1,0.0907845:4,0.000588739:1,0.161324:4,0.0160134:1,0.0073736:4,0.011523:2,0.342019:4,0.0509834:1,0.010451:4,0.0139948:1,0.00279163:4,0.00060397:2,0.166371:4,0.0177255:7,0.00916897:4,0.0535351:1,0.0604825:4,0.0142116:1,0.129878:4,0.0139455:1,0.0448286:4,0.0202247:7,0.00448914:4,0.00816422:2,0.0292996:4,0.0264637:2,0.00840339:4,0.00297211:1,0.00809424:5,0.00902014:3,0.0746638:6,0.000513032:3,0.0547978:6,0.0157494:3,0.00628798:6,0.0111484:3,0.148655:6,0.035448:2,0.0128315:4,0.0161678:7,0.00103619:6,0.00267609:3,0.0558081}	{3,0}	((n1:{2,0.677118:4,0.0204038:2,0.177833:4,0.00978166:1,0.0274223:4,0.00539976:1,0.214465:4,0.0151111:1,0.00776887:4,0.0190447:2,0.082971:4,0.00688348:2,0.0629009:4,0.0203609:1,0.223258:4,0.0124444:1,0.0384518:4,0.0199282:2,0.0908002},n0:{1,0.655109:4,0.026831:2,0.105608:4,0.00640813:2,0.0240888:4,0.0170681:1,0.0180027:4,0.0216203:2,0.133916:4,0.00631024:2,0.00696161:4,0.0115327:2,0.0894829:4,0.00315264:2,0.478243:4,0.0288153:1,0.0737968:4,0.00382186:1,0.0215783}):{4,0.00457353:2,0.207125:4,0.0227766:2,0.0355249:4,0.00951694:2,0.0737701:4,0.0055197:1,0.0907845:4,0.000588739:1,0.161324:4,0.0160134:1,0.0073736:4,0.011523:2,0.342019:4,0.0509834:1,0.010451:4,0.0139948:1,0.00279163:4,0.00060397:2,0.166371:4,0.0177255:7,0.00916897:4,0.0535351:1,0.0604825:4,0.0142116:1,0.129878:4,0.0139455:1,0.0448286:4,0.0202247:7,0.00448914:4,0.00816422:2,0.0292996:4,0.0264637:2,0.00840339:4,0.00297211:1,0.00809424:5,0.00902014:3,0.0746638:6,0.000513032:3,0.0547978:6,0.0157494:3,0.00628798:6,0.0111484:3,0.148655:6,0.035448:2,0.0128315:4,0.0161678:7,0.00103619:6,0.00267609:3,0.0558081},n2:{3,2.81807:6,0.0155294:2,0.0717353:6,0.0128083:3,0.0105526:5,0.0131761:7,0.0118941:5,0.00685472:7,0.0347883:4,0.00503164:1,0.0464252:4,0.000185691:1,0.058112:4,0.00181356:1,0.115287:4,0.0139525:1,0.0323244:4,0.0554354:1,0.0672452:4,0.0229094:2,0.0183197:4,0.00167766:1,0.0122494:4,0.0182115:2,0.0334391:4,0.00367216:2,0.122908:4,0.0401955:2,0.0458284:6,0.0415095:3,0.0291316:5,0.00848908:3,0.072907});
14000	{3,3.15411:6,0.0408298:3,0.213454}	{2,1.43868:4,0.0029544:2,0.102385:4,0.0007415:1,0.0663528:4,0.00507291:1,0.0988763}	{1,1.38535:4,0.00718357:1,0.0237571:4,0.0109747:1,0.287803}	{1,0.0718941:4,0.00507679:1,0.00713093:4,0.00244565:1,1.27867:4,0.00970375:1,0.059306:5,0.00153258:7,0.0144233:5,0.0221428:7,0.000217492:4,0.00642392:1,0.0863154:5,0.00110285:3,0.126942}	{3,0}	((n1:{2,1.43868:4,0.0029544:2,0.102385:4,0.0007415:1,0.0663528:4,0.00507291:1,0.0988763},n0:{1,1.38535:4,0.00718357:1,0.0237571:4,0.0109747:1,0.287803}):{1,0.0718941:4,0.00507679:1,0.00713093:4,0.00244565:1,1.27867:4,0.00970375:1,0.059306:5,0.00153258:7,0.0144233:5,0.0221428:7,0.000217492:4,0.00642392:1,0.0863154:5,0.00110285:3,0.126942},n2:{3,3.15411:6,0.0408298:3,0.213454});
14100	{3,2.85637:5,0.00925921:1,0.0491574:5,0.000163161:3,0.163589:6,0.0124521:2,0.015345:4,0.00366249:7,0.011031:5,0.00697368:3,0.0148674:6,0.0279027:3,0.0273122:5,0.00954136:1,0.0305486:4,0.0440191:7,0.0114098:6,0.00095205:2,0.0853125:6,0.0142178:3,0.00348906:6,0.0476438:2,0.0243771:6,0.0134785:2,0.0198248:6,0.00467304:7,0.00147213:6,0.00727881:2,0.0446429:6,0.00615655:2,0.00756905:4,0.0223307:7,0.0137795:6,0.0399422:2,0.00193271:6,0.0176931:3,0.0152416:5,0.00164989:3,0.115641}	{2,1.29243:4,0.0636449:2,0.0910948:4,0.00132103:1,0.0548563}	{1,1.3554:4,0.055865:1,0.0920855}	{1,0.0424264:4,0.003475:2,0.0742993:4,0.0179941:2,0.119203:4,0.0116631:1,0.0426258:4,0.0418391:2,0.0299863:4,0.057302:2,0.141005:4,0.0350859:1,0.0381297:4,0.00305098:2,0.00924168:4,0.00816293:2,0.555801:4,0.0410872:2,0.0311928:4,0.00233581:1,0.175199:5,0.0397979:1,0.0239625:4,0.0265515:2,0.0450632:6,0.000913355:3,0.0761249:5,0.00822596:3,0.00279926:6,0.00420456:2,0.0297375:6,0.0122147:3,0.043233:5,0.00655554:1,0.0954833:4,0.00115191:2,0.0764092:4,0.0314567:2,0.0463283:6,0.00476022:2,0.043587:6,0.0263768:7,0.0122753:5,0.000558698:3,0.157308:6,0.00159867:3,0.00177485}	{3,0}	((n0:{1,1.3554:4,0.055865:1,0.0920855},n1:{2,1.29243:4,0.0636449:2,0.0910948:4,0.00132103:1,0.0548563}):{1,0.0424264:4,0.003475:2,0.0742993:4,0.0179941:2,0.119203:4,0.0116631:1,0.0426258:4,0.0418391:2,0.0299863:4,0.057302:2,0.141005:4,0.0350859:1,0.0381297:4,0.00305098:2,0.00924168:4,0.00816293:2,0.555801:4,0.0410872:2,0.0311928:4,0.00233581:1,0.175199:5,0.0397979:1,0.0239625:4,0.0265515:2,0.0450632:6,0.000913355:3,0.0761249:5,0.00822596:3,0.00279926:6,0.00420456:2,0.0297375:6,0.0122147:3,0.043233:5,0.00655554:1,0.0954833:4,0.00115191:2,0.0764092:4,0.0314567:2,0.0463283:6,0.00476022:2,0.043587:6,0.0263768:7,0.0122753:5,0.000558698:3,0.157308:6,0.00159867:3,0.00177485},n2:{3,2.85637:5,0.00925921:1,0.0491574:5,0.000163161:3,0.163589:6,0.0124521:2,0.015345:4,0.00366249:7,0.011031:5,0.00697368:3,0.0148674:6,0.0279027:3,0.0273122:5,0.00954136:1,0.0305486:4,0.0440191:7,0.0114098:6,0.00095205:2,0.0853125:6,0.0142178:3,0.00348906:6,0.0476438:2,0.0243771:6,0.0134785:2,0.0198248:6,0.00467304:7,0.00147213:6,0.00727881:2,0.0446429:6,0.00615655:2,0.00756905:4,0.0223307:7,0.0137795:6,0.0399422:2,0.00193271:6,0.0176931:3,0.0152416:5,0.00164989:3,0.115641});
14200	{3,3.70901}	{2,1.13692:4,1.2327:1,0.21109}	{1,2.26734:4,0.00562791:1,0.307749}	{1,0.645903:4,0.0234467:7,0.171171:6,0.0200704:3,0.267703}	{3,0}	((n0:{1,2.26734:4,0.00562791:1,0.307749},n1:{2,1.13692:4,1.2327:1,0.21109}):{1,0.645903:4,0.0234467:7,0.171171:6,0.0200704:3,0.267703},n2:{3,3.70901});
14300	{3,3.60426}	{2,1.36692:4,0.0119523:1,1.10491:4,0.0264904:1,0.471523}	{1,2.55213:4,0.0257466:1,0.403927}	{1,0.0614688:4,0.0797304:2,0.214696:6,0.13544:3,0.0344003:5,0.0527549:3,0.0439634}	{3,0}	((n1:{2,1.36692:4,0.0119523:1,1.10491:4,0.0264904:1,0.471523},n0:{1,2.55213:4,0.0257466:1,0.403927}):{1,0.0614688:4,0.0797304:2,0.214696:6,0.13544:3,0.0344003:5,0.0527549:3,0.0439634},n2:{3,3.60426});
14400	{3,2.77296:6,0.00271989:2,0.0491075:6,0.0120987:3,0.325748}	{2,0.730607:4,0.0103948:2,1.06689:4,0.0266432:2,0.146612:4,0.00216056:2,0.132572}	{1,0.569022:4,0.0135897:1,0.791783:4,0.00688644:1,0.0589777:4,0.0164062:1,0.220586:4,0.00201144:1,0.169672:4,0.00242825:2,0.264517}	{2,0.621612:6,0.0278576:2,0.0186042:6,0.00681478:2,0.0461556:4,0.00527189:2,0.172906:6,0.0114633:3,0.0534858:6,0.0190017:3,0.0635792}	{3,0}	((n0:{1,0.569022:4,0.0135897:1,0.791783:4,0.00688644:1,0.0589777:4,0.0164062:1,0.220586:4,0.00201144:1,0.169672:4,0.00242825:2,0.264517},n1:{2,0.730607:4,0.0103948:2,1.06689:4,0.0266432:2,0.146612:4,0.00216056:2,0.132572}):{2,0.621612:6,0.0278576:2,0.0186042:6,0.00681478:2,0.0461556:4,0.00527189:2,0.172906:6,0.0114633:3,0.0534858:6,0.0190017:3,0.0635792},n2:{3,2.77296:6,0.00271989:2,0.0491075:6,0.0120987:3,0.325748});
14500	{3,3.90939}	{2,2.37386:4,0.0528432:2,0.54049}	{1,1.74765:4,0.161198:2,1.05834}	{2,0.0744226:4,0.12007:2,0.313964:6,0.0355816:3,0.398159}	{3,0}	((n0:{1,1.74765:4,0.161198:2,1.05834},n1:{2,2.37386:4,0.0528432:2,0.54049}):{2,0.0744226:4,0.12007:2,0.313964:6,0.0355816:3,0.398159},n2:{3,3.90939});
14600	{0,1.05735:3,1.72829:6,0.0500928:2,0.455568:6,0.0381194:3,0.0557219:6,0.0245758:3,0.121833}	{0,1.06582:2,0.34767:4,0.0508159:1,0.215192:4,0.0649654:2,0.29187:4,0.0667701:2,0.15837}	{0,1.06539:1,0.157412:4,0.0545413:2,0.0850062:4,0.0114544:2,0.871404:4,0.00623506:2,0.010028}	{2,0.722434:6,0.0291636:3,0.518488}	{3,0}	((n1:{0,1.06582:2,0.34767:4,0.0508159:1,0.215192:4,0.0649654:2,0.29187:4,0.0667701:2,0.15837},n0:{0,1.06539:1,0.157412:4,0.0545413:2,0.0850062:4,0.0114544:2,0.871404:4,0.00623506:2,0.010028}):{2,0.722434:6,0.0291636:3,0.518488},n2:{0,1.05735:3,1.72829:6,0.0500928:2,0.455568:6,0.0381194:3,0.0557219:6,0.0245758:3,0.121833});
14700	{3,3.13275:5,3.44504e-05:3,0.142588:5,0.0583882:1,0.0756602:5,0.0070683:3,0.0173216:6,0.00329108:3,0.00484744}	{2,1.34525:4,0.00762372:2,0.150031}	{1,1.24346:4,0.0042628:1,0.0123023:4,0.0233655:2,0.0371193:4,0.0546902:2,0.127704}	{2,0.147234:4,0.013093:2,0.155496:4,0.0107893:1,0.20649:4,0.00326818:2,0.216958:4,0.0108494:1,0.417969:4,0.000897714:1,0.195736:4,0.0332963:1,0.0421411:4,0.0724001:1,0.190465:5,0.00713174:3,0.214828}	{3,0}	((n1:{2,1.34525:4,0.00762372:2,0.150031},n0:{1,1.24346:4,0.0042628:1,0.0123023:4,0.0233655:2,0.0371193:4,0.0546902:2,0.127704}):{2,0.147234:4,0.013093:2,0.155496:4,0.0107893:1,0.20649:4,0.00326818:2,0.216958:4,0.0108494:1,0.417969:4,0.000897714:1,0.195736:4,0.0332963:1,0.0421411:4,0.0724001:1,0.190465:5,0.00713174:3,0.214828},n2:{3,3.13275:5,3.44504e-05:3,0.142588:5,0.0583882:1,0.0756602:5,0.0070683:3,0.0173216:6,0.00329108:3,0.00484744});
14800	{3,2.64311:5,0.00550442:3,0.105211:6,0.0214695:2,0.0389596:6,0.00143104:3,0.235862}	{2,1.23181}	{1,1.07555:4,0.0024474:2,0.0782889:4,0.00234522:2,0.0731793}	{2,0.330092:4,0.0321029:2,0.191045:4,0.000840115:2,0.00432201:4,0.00524563:2,0.00266226:4,0.0625615:1,0.159517:4,0.00264281:1,0.270452:4,0.0151086:2,0.0238071:4,0.00641673:2,0.224788:6,0.0256383:2,0.0644199:4,0.00998229:2,0.00738163:4,0.00226725:7,0.00384798:5,0.0328349:1,0.0721709:4,0.0131095:1,0.0414834:4,0.0226753:7,0.00705111:6,0.00454612:2,0.0698678:4,0.0296546:7,0.00851121:6,0.0218883:3,0.00965985:6,0.0275979:3,0.0135409}	{3,0}	((n0:{1,1.07555:4,0.0024474:2,0.0782889:4,0.00234522:2,0.0731793},n1:{2,1.23181}):{2,0.330092:4,0.0321029:2,0.191045:4,0.000840115:2,0.00432201:4,0.00524563:2,0.00266226:4,0.0625615:1,0.159517:4,0.00264281:1,0.270452:4,0.0151086:2,0.0238071:4,0.00641673:2,0.224788:6,0.0256383:2,0.0644199:4,0.00998229:2,0.00738163:4,0.00226725:7,0.00384798:5,0.0328349:1,0.0721709:4,0.0131095:1,0.0414834:4,0.0226753:7,0.00705111:6,0.00454612:2,0.0698678:4,0.0296546:7,0.00851121:6,0.0218883:3,0.00965985:6,0.0275979:3,0.0135409},n2:{3,2.64311:5,0.00550442:3,0.105211:6,0.0214695:2,0.0389596:6,0.00143104:3,0.235862});
