Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
1400	-17028.25	-17008.55	-19.70459	11.50469	0.257932	0.246993	0.242262	0.252813	0.1879951	5.62759	0.11409	0.124388	0.580882	0.0179185	0.00036327	0.000396058	0.00184956	0.677832	0.322168	0.0837307	0.002701528	2.58947	0.558341	0	0.9071539	3.80402	1	1	1	1.148486	0.3221676	0.6778324	62.84716	0.003184053	3.80402	0.654035	0.881158	1.06945	1.39536
1500	-17022.71	-17003.84	-18.86913	16.65376	0.245128	0.253175	0.253266	0.248431	0.1318189	7.56113	0.140941	0.204179	0.552308	0.018329	0.000341656	0.000494954	0.00133886	0.164007	0.835993	0.03658571	0.005769489	2.99969	1.05058	0	0.5397316	3.505892	1	1	1	1.096533	0.8359931	0.1640069	84.73171	0.002424114	3.505892	0.707968	0.904253	1.06156	1.32622
1600	-17023.82	-17004.69	-19.12425	32.81676	0.252722	0.251903	0.248366	0.247009	0.1173223	6.46452	0.223252	0.0704385	0.336821	0.0170891	0.00059017	0.000186205	0.000890392	0.563885	0.436115	0.07165863	0.0113828	3.4306	1.10711	0	1.150365	3.838804	1	1	1	1.261341	0.4361154	0.5638846	42.01661	0.00264352	3.838804	0.787655	0.934961	1.04766	1.22973
1700	-17026.86	-17005.85	-21.00618	13.44082	0.242991	0.252647	0.251862	0.2525	0.2234346	6.60534	0.189658	0.293607	0.544847	0.0169887	0.000487795	0.000755148	0.00140133	0.635438	0.364562	0.0521412	0.01825871	3.31674	0.64838	0	0.2529725	3.761951	1	1	1	1.164705	0.3645622	0.6354378	43.53257	0.002571967	3.761951	0.677688	0.891532	1.06615	1.36463
1800	-17023.19	-17006.8	-16.38792	11.87729	0.251308	0.245414	0.255251	0.248027	0.06517086	4.45728	0.412451	0.260368	0.534838	0.0145952	0.00135055	0.000852565	0.0017513	0.917713	0.0822873	0.02670253	0.004110168	2.97942	0.695685	0	0.5815639	3.93922	1	1	1	1.230978	0.08228729	0.9177127	49.1561	0.003274454	3.93922	0.659	0.883368	1.06878	1.38885
1900	-17023.27	-17006.4	-16.86806	2.91288	0.252891	0.257887	0.244942	0.24428	0.2833706	1.88587	0.0750116	0.077898	0.199983	0.0173945	0.000691876	0.0007185	0.00184456	0.909574	0.0904261	0.00765443	0.005320664	2.86244	0.689853	0	0.5532289	3.704574	1	1	1	1.228424	0.09042606	0.9095739	14.37127	0.009223594	3.704574	0.382408	0.726587	1.08205	1.80895
2000	-17024.34	-17005.63	-18.70576	1.393943	0.245977	0.251938	0.257466	0.244619	0.1201452	1.34961	0.0416045	0.0353531	1.641	0.0119155	0.000367321	0.000312128	0.0144881	0.933624	0.0663759	0.1153981	0.003518536	3.0138	1.28871	0	0.5963374	3.518375	1	1	1	1.106213	0.06637592	0.9336241	6.3294	0.008828859	3.518375	0.208464	0.569896	1.04353	2.17811
2100	-17025.2	-17005.45	-19.74895	28.8363	0.250902	0.25194	0.250295	0.246863	0.07640104	3.96739	0.347033	0.192519	1.2045	0.0143499	0.00125521	0.000696335	0.00435663	0.615199	0.384801	0.04495589	0.003510905	3.54557	0.668332	0	1.722065	3.923412	1	1	1	1.258352	0.3848011	0.6151989	91.14042	0.003616967	3.923412	0.774215	0.930048	1.05018	1.24556
2200	-17023.77	-17003.7	-20.06179	22.91409	0.252036	0.245751	0.252582	0.249632	0.04090932	4.95952	0.109108	0.131285	1.65944	0.0158262	0.000348173	0.000418939	0.00529538	0.504301	0.495699	0.01897316	0.001657046	3.40431	1.21772	0	1.610544	3.569078	1	1	1	1.020739	0.4956989	0.5043011	79.8949	0.003191072	3.569078	0.748355	0.920299	1.05483	1.27652
2300	-17033.2	-17004.35	-28.85056	33.62687	0.24578	0.250798	0.255964	0.247459	0.458204	5.86563	0.378345	0.402446	7.61461	0.00951869	0.000613974	0.000653086	0.0123569	0.644261	0.355739	0.06046558	0.005837792	3.0005	0.619199	0	1.364238	3.832198	1	1	1	1.242355	0.3557392	0.6442608	37.52363	0.001622789	3.832198	0.790105	0.935845	1.04719	1.22686
2400	-17025.81	-17003.81	-22.00339	30.72871	0.247788	0.250747	0.252202	0.249263	0.04825825	6.33535	0.142178	0.177658	4.53935	0.0141423	0.000317382	0.000396583	0.0101331	0.872999	0.127001	0.02873459	0.01486435	2.99866	0.864007	0	0.9398296	3.673177	1	1	1	1.323205	0.1270011	0.8729989	76.36827	0.00223229	3.673177	0.780918	0.932511	1.04893	1.23764
2500	-17022.36	-17002.96	-19.40216	28.68679	0.246515	0.252632	0.254472	0.246381	0.03511296	2.39448	0.0721115	0.108823	1.74335	0.0116423	0.000350615	0.00052911	0.0084764	0.94196	0.0580404	0.04833975	0.01426792	3.17206	0.621097	0	1.689207	3.804374	1	1	1	1.095705	0.05804042	0.9419596	47.18184	0.004862126	3.804374	0.773658	0.929843	1.05028	1.24622
2600	-17027.45	-17007.15	-20.29811	32.06724	0.254513	0.25083	0.249974	0.244683	0.1546537	2.69826	0.173179	0.080856	2.70585	0.0104903	0.000673288	0.000314352	0.0105198	0.141589	0.858411	0.2494702	0.007442192	2.76086	1.16274	0	0.9369685	3.726416	1	1	1	1.204103	0.8584106	0.1415894	4.615244	0.003887807	3.726416	0.78531	0.934111	1.0481	1.23248
2700	-17024.23	-17006.03	-18.19912	34.96148	0.251266	0.256052	0.25132	0.241362	0.06841988	3.48076	0.25081	0.242308	2.19302	0.0129763	0.00093502	0.000903324	0.00817556	0.623411	0.376589	0.05275393	0.009458191	3.34453	0.58025	0	1.077502	3.577756	1	1	1	1.158873	0.376589	0.623411	35.04238	0.003727995	3.577756	0.79396	0.937229	1.04645	1.22236
