Iteration	1	2	3	4	5	simmap
105700	{3,3.28969}	{4,0.0321942:1,0.457278:4,0.141699:1,1.02364:5,1.28718:3,0.347706}	{4,0.127037:2,0.46016:6,0.113365:2,1.49813:4,0.646586:7,0.391062:5,0.328236:3,0.0404591}	{3,0.31535}	{3,0}	((n0:{4,0.0321942:1,0.457278:4,0.141699:1,1.02364:5,1.28718:3,0.347706},n2:{3,3.28969}):{3,0.31535},n1:{4,0.127037:2,0.46016:6,0.113365:2,1.49813:4,0.646586:7,0.391062:5,0.328236:3,0.0404591});
105800	{3,2.69451}	{4,0.72844:7,0.260032:5,0.0343531:1,0.254242:5,1.11595:3,0.997593}	{4,0.00328878:2,0.211456:6,1.49598:7,0.0544916:6,0.112105:3,0.817189}	{3,0.6961}	{3,0}	((n2:{3,2.69451},n1:{4,0.00328878:2,0.211456:6,1.49598:7,0.0544916:6,0.112105:3,0.817189}):{3,0.6961},n0:{4,0.72844:7,0.260032:5,0.0343531:1,0.254242:5,1.11595:3,0.997593});
105900	{3,0.766058:5,0.136336:3,2.42638}	{4,0.244918:7,0.793218:4,0.397341:2,1.04823:6,0.34298:3,1.03744}	{4,0.608516:7,2.35871:6,0.0291774:3,0.332366}	{3,0.53536}	{3,0}	((n1:{4,0.608516:7,2.35871:6,0.0291774:3,0.332366},n2:{3,0.766058:5,0.136336:3,2.42638}):{3,0.53536},n0:{4,0.244918:7,0.793218:4,0.397341:2,1.04823:6,0.34298:3,1.03744});
106000	{3,3.05146}	{4,0.0650415:7,1.74193:5,0.447586:3,0.796902}	{4,0.616359:1,1.62402:5,0.451784:3,0.874018}	{3,0.514724}	{3,0}	((n2:{3,3.05146},n0:{4,0.0650415:7,1.74193:5,0.447586:3,0.796902}):{3,0.514724},n1:{4,0.616359:1,1.62402:5,0.451784:3,0.874018});
106100	{3,2.34172}	{4,0.371713:7,0.820368:5,0.0228743:1,0.255044:5,0.33616:3,1.25844}	{4,0.0177017:2,0.679155:6,0.329162:2,0.12848:4,0.128257:7,0.00241555:5,0.230038:3,0.826509}	{3,0.441506:6,0.201612:3,0.0797601}	{3,0}	((n1:{4,0.0177017:2,0.679155:6,0.329162:2,0.12848:4,0.128257:7,0.00241555:5,0.230038:3,0.826509},n2:{3,2.34172}):{3,0.441506:6,0.201612:3,0.0797601},n0:{4,0.371713:7,0.820368:5,0.0228743:1,0.255044:5,0.33616:3,1.25844});
106200	{3,2.20418:6,0.473519:3,0.598989}	{4,0.62591:7,1.70688:6,0.337147:3,0.51467}	{4,0.746743:7,0.817512:4,0.103585:7,0.341039:6,0.840869:3,0.334856}	{3,0.0920809}	{3,0}	((n1:{4,0.746743:7,0.817512:4,0.103585:7,0.341039:6,0.840869:3,0.334856},n0:{4,0.62591:7,1.70688:6,0.337147:3,0.51467}):{3,0.0920809},n2:{3,2.20418:6,0.473519:3,0.598989});
106300	{3,0.51851:6,1.87194:3,0.793547}	{4,1.24357:1,0.84053}	{4,0.64286:7,0.628352:5,0.81289}	{5,0.123722:3,0.976176}	{3,0}	((n0:{4,1.24357:1,0.84053},n1:{4,0.64286:7,0.628352:5,0.81289}):{5,0.123722:3,0.976176},n2:{3,0.51851:6,1.87194:3,0.793547});
106400	{3,3.32688:6,0.223754:3,0.211317}	{4,0.150514:1,1.56486:5,0.0213711:1,0.803887}	{4,0.852333:1,1.49911:4,0.189191}	{4,0.12729:7,0.0979646:5,0.970027:3,0.0260416}	{3,0}	((n0:{4,0.150514:1,1.56486:5,0.0213711:1,0.803887},n1:{4,0.852333:1,1.49911:4,0.189191}):{4,0.12729:7,0.0979646:5,0.970027:3,0.0260416},n2:{3,3.32688:6,0.223754:3,0.211317});
106500	{3,2.16502}	{4,0.216563:7,0.868568:6,0.421381:3,0.658508}	{4,0.085852:7,0.0532437:5,0.221673:7,0.320499:5,0.282737:7,0.0704098:5,0.202804:3,0.024153:6,0.0482245:3,1.97396}	{3,1.11853}	{3,0}	((n0:{4,0.216563:7,0.868568:6,0.421381:3,0.658508},n2:{3,2.16502}):{3,1.11853},n1:{4,0.085852:7,0.0532437:5,0.221673:7,0.320499:5,0.282737:7,0.0704098:5,0.202804:3,0.024153:6,0.0482245:3,1.97396});
106600	{3,3.0512}	{4,0.505227:1,0.728468:5,0.049727:3,2.14606}	{4,0.839135:2,0.0652884:6,1.18432:2,0.359524:6,0.0521401:3,0.550798}	{3,0.378285}	{3,0}	((n1:{4,0.839135:2,0.0652884:6,1.18432:2,0.359524:6,0.0521401:3,0.550798},n2:{3,3.0512}):{3,0.378285},n0:{4,0.505227:1,0.728468:5,0.049727:3,2.14606});
106700	{3,3.29518}	{4,0.831693:1,0.166171:5,0.7857:7,0.452314:4,0.22634}	{4,0.0831416:1,0.727764:5,0.0138267:7,0.0641592:5,0.303079:3,1.27025}	{7,0.424162:5,0.293915:3,0.114888}	{3,0}	((n1:{4,0.0831416:1,0.727764:5,0.0138267:7,0.0641592:5,0.303079:3,1.27025},n0:{4,0.831693:1,0.166171:5,0.7857:7,0.452314:4,0.22634}):{7,0.424162:5,0.293915:3,0.114888},n2:{3,3.29518});
106800	{3,3.81148}	{4,0.627956:2,0.809039:6,0.564989}	{4,0.0616909:7,0.472029:5,0.347712:1,1.12055}	{7,0.743513:6,0.78808:3,0.277905}	{3,0}	((n0:{4,0.627956:2,0.809039:6,0.564989},n1:{4,0.0616909:7,0.472029:5,0.347712:1,1.12055}):{7,0.743513:6,0.78808:3,0.277905},n2:{3,3.81148});
106900	{3,3.00294}	{4,1.00383:1,0.446981}	{4,1.22056:1,0.230259}	{1,0.495533:5,0.339891:3,0.716698}	{3,0}	((n1:{4,1.22056:1,0.230259},n0:{4,1.00383:1,0.446981}):{1,0.495533:5,0.339891:3,0.716698},n2:{3,3.00294});
107000	{3,0.0932511:5,0.00158343:3,1.98631:6,0.707606:3,0.44311}	{4,0.385915:7,0.0464738:5,0.22995:1,0.82103}	{4,0.0990392:1,1.38433}	{1,0.897052:5,0.696835:3,0.154601}	{3,0}	((n0:{4,0.385915:7,0.0464738:5,0.22995:1,0.82103},n1:{4,0.0990392:1,1.38433}):{1,0.897052:5,0.696835:3,0.154601},n2:{3,0.0932511:5,0.00158343:3,1.98631:6,0.707606:3,0.44311});
107100	{3,3.05368}	{4,0.0612378:2,0.32285:6,0.210368:2,1.00862}	{4,1.05179:2,0.55129}	{2,0.193922:4,0.675796:1,0.0228909:5,0.266207:3,0.291782}	{3,0}	((n0:{4,0.0612378:2,0.32285:6,0.210368:2,1.00862},n1:{4,1.05179:2,0.55129}):{2,0.193922:4,0.675796:1,0.0228909:5,0.266207:3,0.291782},n2:{3,3.05368});
107200	{3,0.0712096:5,0.447425:3,3.22574}	{4,0.0126678:2,1.98202}	{4,0.358162:7,0.599043:6,0.151568:3,0.885915}	{6,0.573348:3,1.17634}	{3,0}	((n0:{4,0.0126678:2,1.98202},n1:{4,0.358162:7,0.599043:6,0.151568:3,0.885915}):{6,0.573348:3,1.17634},n2:{3,0.0712096:5,0.447425:3,3.22574});
107300	{3,0.513775:6,0.137772:7,0.0908058:5,0.758175:7,0.739447:4,0.112768:7,0.333936:6,0.317935:3,0.106464}	{4,0.0573398:7,0.913881:6,0.456392:2,0.941601}	{4,0.832828:1,0.160775:4,0.0866393:1,0.0661867:4,0.0457327:7,0.0340012:6,0.951964:2,0.191087}	{2,0.371033:6,0.312627:3,0.0582034}	{3,0}	((n0:{4,0.0573398:7,0.913881:6,0.456392:2,0.941601},n1:{4,0.832828:1,0.160775:4,0.0866393:1,0.0661867:4,0.0457327:7,0.0340012:6,0.951964:2,0.191087}):{2,0.371033:6,0.312627:3,0.0582034},n2:{3,0.513775:6,0.137772:7,0.0908058:5,0.758175:7,0.739447:4,0.112768:7,0.333936:6,0.317935:3,0.106464});
