Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
1400	-17396.55	-17382.17	-14.38854	26.81207	0.2465	0.251893	0.243412	0.258195	0.05744823	0.0528504	0.111472	2.14486	0.521492	0.000546108	0.00115185	0.022163	0.00538863	0.829147	0.170853	0.002320956	0.01479447	2.93955	0.922056	0	1.554375	3.051671	1	1	1	1.370716	0.1708529	0.8291471	60.39277	0.0103331	3.051671	0.766306	0.927109	1.05163	1.25496
1500	-17394.7	-17379.22	-15.47288	49.81439	0.251521	0.243552	0.258064	0.246863	0.1107541	0.0929763	0.197615	3.84843	0.6363	0.000473298	0.00100596	0.0195905	0.0032391	0.940108	0.0598925	0.12013	0.002061045	2.94085	1.00359	0	0.3271812	3.249414	1	1	1	1.342616	0.0598925	0.9401075	29.7313	0.005090523	3.249414	0.826089	0.948445	1.0401	1.18537
1600	-17395.49	-17380.83	-14.65652	47.10216	0.248562	0.250361	0.256147	0.244929	0.03367269	0.269242	0.260634	6.49111	0.143721	0.00100808	0.000975847	0.0243035	0.000538108	0.759549	0.240451	0.02141537	0.003180805	2.91008	1.03074	0	0.4375415	3.111727	1	1	1	1.353109	0.2404511	0.7595489	82.67966	0.003744124	3.111727	0.821346	0.946825	1.04106	1.19077
1700	-17395.19	-17379.27	-15.92026	22.08322	0.244404	0.252408	0.253131	0.250056	0.04360784	0.166047	0.37704	4.59966	0.5013	0.000663619	0.00150687	0.0183829	0.00200348	0.26256	0.73744	0.09533977	0.01914651	2.73969	0.93988	0	1.311745	3.72672	1	1	1	1.200629	0.73744	0.26256	86.24749	0.003996578	3.72672	0.743955	0.9186	1.05559	1.28185
1800	-17401.68	-17388.81	-12.8769	27.6849	0.252855	0.254706	0.237633	0.254805	0.127499	0.124278	0.134885	3.31656	0.101312	0.000793178	0.000860875	0.0211671	0.000646598	0.145867	0.854133	0.04883623	0.009459104	3.02034	0.917363	0	0.7252007	3.308753	1	1	1	1.601124	0.8541326	0.1458674	16.2933	0.006382266	3.308753	0.769818	0.928419	1.05098	1.25078
1900	-17400.31	-17381.33	-18.98422	20.15884	0.239966	0.251822	0.253817	0.254396	0.1841325	0.119005	0.278818	4.85251	0.291276	0.000437557	0.00102516	0.0178416	0.00107096	0.30586	0.69414	0.07959633	0.01335726	2.75178	0.764622	0	1.338738	3.927273	1	1	1	1.408493	0.6941404	0.3058596	26.68544	0.003676786	3.927273	0.732792	0.914237	1.0575	1.29547
2000	-17394.98	-17377.09	-17.89477	49.18921	0.25165	0.244697	0.255006	0.248647	0.04365768	0.21493	0.278885	4.6387	3.13359	0.000613336	0.000795841	0.0132372	0.00894217	0.592239	0.407761	0.0189253	0.01369466	3.22938	0.866168	0	1.355267	3.933706	1	1	1	1.248089	0.4077613	0.5922387	61.82393	0.002853648	3.933706	0.82503	0.948084	1.04031	1.18657
2100	-17396.91	-17379.01	-17.90406	17.24904	0.247576	0.251757	0.247474	0.253193	0.01538972	0.275346	0.243062	7.67199	2.32657	0.000588984	0.000519925	0.0164109	0.00497669	0.638854	0.361146	0.0559966	0.02234124	2.8921	1.0265	0	0.9077159	3.928396	1	1	1	1.216557	0.3611456	0.6388544	66.52062	0.002139066	3.928396	0.712682	0.906179	1.06081	1.32033
2200	-17398.59	-17379.63	-18.96093	38.21883	0.25789	0.250064	0.243508	0.248538	0.07272985	0.187772	0.352334	1.92004	8.47785	0.000547631	0.00102757	0.00559973	0.0247254	0.656773	0.343227	0.1646126	0.002665264	2.8653	0.874555	0	0.9849511	3.841507	1	1	1	1.305828	0.3432267	0.6567733	14.37639	0.002916467	3.841507	0.802533	0.940278	1.04479	1.2124
2300	-17408.71	-17384.67	-24.03062	19.93043	0.259922	0.240721	0.256859	0.242498	0.2052295	0.0989104	0.358955	2.57532	10.8564	0.000354841	0.00128775	0.00923894	0.0389473	0.636122	0.363878	0.1322932	0.01349911	2.79581	1.18687	0	1.104698	3.288685	1	1	1	1.32995	0.3638777	0.6361223	50.07039	0.003587495	3.288685	0.731366	0.913674	1.05774	1.29722
