Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
1500	-17616	-17603.98	-12.02498	37.51448	0.252356	0.255312	0.244562	0.24777	0.1043499	0.327443	0.355296	1.40381	0.365221	0.00328249	0.0035617	0.0140727	0.0036612	0.0546184	0.945382	0.07953956	0.236091	1.68091	0	2.910545	3.432818	1	1	1	2.138151	0.9453816	0.05461845	0.01002461	3.432818	0.800771	0.939655	1.04514	1.21444
1600	-17614.37	-17605.05	-9.322589	39.46049	0.247225	0.254002	0.249192	0.249581	0.1006031	0.231388	0.0675518	1.05467	1.93386	0.00300124	0.000876188	0.0136797	0.0250833	0.351844	0.648156	0.00862469	1.49483	1.93844	0	0.7889446	3.885983	1	1	1	2.146568	0.6481559	0.3518441	0.01297061	3.885983	0.805528	0.941333	1.04421	1.20893
1700	-17611.94	-17602.68	-9.261422	10.35581	0.254363	0.246975	0.25089	0.247773	0.06486617	0.359725	0.335329	1.66124	0.250039	0.00291474	0.00271707	0.0134605	0.002026	0.547248	0.452752	0.1513552	3.24408	2.54575	0	0.914765	3.826445	1	1	1	2.085556	0.4527516	0.5472484	0.008102704	3.826445	0.637212	0.873537	1.07163	1.41763
1800	-17613.39	-17605.11	-8.279619	3.834158	0.244662	0.245842	0.254612	0.254884	0.1160228	0.529739	0.199018	2.08234	0.555673	0.00460795	0.00173116	0.0181133	0.00483354	0.901841	0.0981595	0.03086007	2.18577	3.23373	0	0.8022953	3.406845	1	1	1	2.138589	0.09815945	0.9018405	0.008698534	3.406845	0.445013	0.769272	1.08439	1.70133
1900	-17621.1	-17606.89	-14.20805	28.92513	0.254513	0.249135	0.240547	0.255805	0.05587788	0.625789	0.662372	2.98192	0.435023	0.00333698	0.00353206	0.0159009	0.00231973	0.976455	0.0235454	0.1420523	1.93376	0.946683	0	2.350047	3.264896	1	1	1	2.3679	0.02354538	0.9764546	0.005332445	3.264896	0.774544	0.93017	1.05011	1.24517
2000	-17614.4	-17605.4	-8.997854	27.47823	0.247082	0.248749	0.254981	0.249187	0.08463371	0.658878	0.218006	2.49517	0.14974	0.0062076	0.00205394	0.0235082	0.00141077	0.0605962	0.939404	0.0665402	0.74273	2.51147	0	0.802579	3.895495	1	1	1	2.120504	0.9394038	0.06059619	0.009421473	3.895495	0.769001	0.928114	1.05113	1.25175
2100	-17614.32	-17605.69	-8.630135	42.89973	0.254771	0.239604	0.247743	0.257882	0.05443942	0.484554	0.261982	2.19087	0.0853293	0.00536686	0.00290168	0.0242658	0.000945096	0.16264	0.83736	0.06388948	0.951149	2.62579	0	0.8185222	3.149872	1	1	1	2.079588	0.8373602	0.1626398	0.01107588	3.149872	0.813154	0.943998	1.0427	1.20015
2200	-17614.97	-17606.17	-8.800917	7.090478	0.242996	0.25337	0.246742	0.256892	0.0334959	0.402497	0.0887839	1.88315	0.421153	0.00501156	0.00110546	0.0234475	0.00524385	0.0513086	0.948691	0.05696223	3.1147	1.69349	0	0.6528818	3.338311	1	1	1	2.316461	0.9486914	0.05130857	0.01245117	3.338311	0.570987	0.841415	1.07874	1.50886
2300	-17621.76	-17609.09	-12.66848	15.09919	0.240887	0.256084	0.2545	0.248529	0.1297464	0.89799	0.158085	3.26886	0.597346	0.00640006	0.00112668	0.0232975	0.00425734	0.311385	0.688615	0.01206186	1.15154	1.71749	0	2.285544	3.841937	1	1	1	2.160758	0.6886153	0.3113847	0.007127094	3.841937	0.69445	0.898649	1.06366	1.34324
2400	-17615.48	-17604.06	-11.41647	9.494471	0.24853	0.246729	0.252503	0.252237	0.08201531	0.721496	0.362475	4.08825	1.89785	0.00296717	0.00149069	0.016813	0.00780496	0.511	0.489	0.04640043	0.719683	1.21936	0	0.8324931	3.609609	1	1	1	1.985568	0.489	0.511	0.00411253	3.609609	0.622816	0.866848	1.07338	1.43696
2500	-17615.87	-17604.88	-10.99364	11.0164	0.243501	0.247615	0.25837	0.250514	0.1149766	0.767741	0.846697	3.21232	0.379943	0.00400516	0.00441706	0.0167581	0.00198209	0.59893	0.40107	0.1159835	0.555859	0.75659	0	0.6182052	3.003658	1	1	1	2.080832	0.4010705	0.5989295	0.005216819	3.003658	0.647182	0.878078	1.07035	1.40439
2600	-17616.38	-17604.5	-11.88256	33.73744	0.257177	0.244752	0.249491	0.24858	0.05338671	0.751006	0.699755	3.29987	0.464074	0.00319687	0.00297871	0.0140468	0.00197546	0.55566	0.44434	0.1162825	1.28885	0.604608	0	1.607293	3.389531	1	1	1	1.917615	0.4443398	0.5556602	0.004256789	3.389531	0.790432	0.935963	1.04713	1.22648
2700	-17615.33	-17603.33	-11.99656	34.76451	0.251243	0.243953	0.254849	0.249955	0.0561067	0.921313	0.848263	4.46332	0.717077	0.0028979	0.00266813	0.014039	0.0022555	0.174049	0.825951	0.06897146	0.585977	1.96328	0	0.9515221	3.932143	1	1	1	2.321447	0.8259506	0.1740494	0.003145409	3.932143	0.793404	0.93703	1.04656	1.22301
2800	-17612.42	-17603.1	-9.323719	47.47177	0.249162	0.247948	0.25408	0.24881	0.1077183	0.574578	0.555938	2.70725	0.672011	0.00264364	0.00255788	0.0124561	0.00309193	0.410138	0.589862	0.05570313	2.08863	1.58478	0	0.9045463	3.954918	1	1	1	1.888971	0.5898616	0.4101384	0.004601018	3.954918	0.822016	0.947054	1.04092	1.19001
2900	-17613.23	-17603.93	-9.294702	18.86003	0.244786	0.250704	0.253264	0.251245	0.06511303	0.269349	0.634977	3.18525	0.141632	0.0022665	0.00534316	0.026803	0.00119179	0.71361	0.28639	0.03317557	0.493985	3.2525	0	1.323852	3.343313	1	1	1	1.957692	0.2863905	0.7136095	0.008414729	3.343313	0.724361	0.91089	1.05891	1.30584
3000	-17610.32	-17603.1	-7.223452	6.350388	0.249353	0.243448	0.253259	0.25394	0.1329737	0.245445	0.35648	1.54723	0.265301	0.00271775	0.00394721	0.0171321	0.00293761	0.685948	0.314052	0.01768503	3.31944	0.364452	0	1.010666	3.169437	0	1	1	2.009822	0.3140518	0.6859482	0.01107275	3.169437	0.55004	0.830495	1.08046	1.539
3100	-17618.62	-17607.55	-11.07561	33.1976	0.2417	0.250823	0.246223	0.261253	0.1924755	0.445764	0.39418	2.20705	0.316266	0.00356177	0.0031496	0.0176349	0.00252705	0.469573	0.530427	0.1783866	2.3685	2.24945	0	1.138303	3.022396	1	1	1	1.846687	0.5304273	0.4695727	0.00799026	3.022396	0.788817	0.93538	1.04744	1.22837
3200	-17618.28	-17608.88	-9.401305	17.37996	0.239191	0.252796	0.25187	0.256143	0.1351836	0.496606	0.540159	1.84808	0.969213	0.00316164	0.00343891	0.0117658	0.00617048	0.293695	0.706305	0.01844139	0.866526	1.92844	0	1.151208	3.892073	1	1	1	2.076493	0.7063053	0.2936947	0.006366489	3.892073	0.713688	0.906589	1.06065	1.31907
