Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
1500	-17396.69	-17376.17	-20.51785	27.83822	0.246607	0.245079	0.251588	0.256726	0.07274305	0.378826	0.402307	4.47946	2.791	0.00142836	0.0015169	0.0168898	0.0105235	0.633139	0.366861	0.09444871	0.006009137	0.124124	0	2.646525	3.036208	1	1	1.303762	0.366861	0.633139	2.95911	0.003770494	3.036208	0.770419	0.928642	1.05087	1.25007
1600	-17389.36	-17372.28	-17.08586	28.68968	0.249867	0.243693	0.252495	0.253946	0.05166713	0.210824	0.411975	3.77231	2.87934	0.000768582	0.0015019	0.0137524	0.010497	0.205375	0.794625	0.0009367061	0.007317633	0.133982	0	0.3714751	3.518852	1	1	1.24351	0.7946249	0.2053751	14.26633	0.003645612	3.518852	0.773669	0.929847	1.05028	1.24621
1700	-17387.43	-17374.06	-13.36954	32.38271	0.252404	0.246167	0.25249	0.248939	0.01863999	0.244725	0.221529	7.06828	0.177006	0.000660381	0.00059779	0.0190735	0.000477646	0.0814831	0.918517	0.01887616	0.001657612	0.857073	0	1.116815	3.908013	1	1	1.345988	0.9185169	0.08148309	1.046622	0.002698468	3.908013	0.786307	0.934472	1.04791	1.23131
1800	-17389.82	-17371.64	-18.17587	42.55834	0.250352	0.244789	0.250406	0.254453	0.1500685	0.0705291	0.160192	5.52127	0.531306	0.000267712	0.000608052	0.0209574	0.00201671	0.368818	0.631182	0.06339654	0.006347338	1.75441	0	0.5855182	3.530092	1	1	1.313153	0.6311822	0.3688178	39.74377	0.003795763	3.530092	0.812437	0.943749	1.04284	1.20097
1900	-17388.49	-17371.69	-16.80342	14.23675	0.248945	0.245583	0.254826	0.250646	0.1372529	0.0672984	0.169406	2.75757	0.644928	0.000475983	0.00119816	0.0195035	0.00456139	0.643876	0.356124	0.04381789	0.00389778	0.935281	0	0.8820871	3.403321	1	1	1.414927	0.356124	0.643876	47.83944	0.007072716	3.403321	0.686074	0.895117	1.06492	1.35389
2000	-17394.39	-17376.21	-18.1775	22.9384	0.249782	0.250849	0.246971	0.252398	0.268784	0.14253	0.183135	3.73445	0.165402	0.000858914	0.00110361	0.0225045	0.000996743	0.50348	0.49652	0.1427551	0.003012625	1.11811	0	0.5582479	3.433343	1	1	1.114466	0.49652	0.50348	23.22257	0.006026178	3.433343	0.748481	0.920347	1.05481	1.27637
2100	-17389.93	-17371.8	-18.13336	14.46366	0.25069	0.245391	0.250004	0.253915	0.1458686	0.12729	0.238733	7.20647	1.74962	0.000297912	0.000558732	0.0168661	0.00409483	0.00396659	0.996033	0.007695638	0.008810898	0.535132	0	0.8609312	3.938506	1	1	1.311831	0.9960334	0.003966591	14.86937	0.002340408	3.938506	0.688346	0.896079	1.06458	1.35099
2200	-17388.83	-17371.93	-16.89943	22.03927	0.250263	0.25165	0.249371	0.248716	0.1655259	0.0565307	0.15639	3.19766	0.869434	0.000287834	0.000796282	0.0162813	0.00442684	0.268074	0.731926	0.01741835	0.02050127	0.836811	0	1.180422	3.896054	1	1	1.335893	0.7319265	0.2680735	16.29493	0.005091634	3.896054	0.743716	0.918507	1.05564	1.28214
2300	-17390.75	-17375.46	-15.29504	30.54213	0.251754	0.251974	0.249153	0.247119	0.03912372	0.287906	0.35173	3.72811	0.192628	0.00178562	0.00218147	0.0231221	0.0011947	0.1226	0.8774	0.05802062	0.01309068	0.541527	0	0.9788612	3.250479	1	1	1.398683	0.8773997	0.1226003	20.54035	0.006202111	3.250479	0.780284	0.932279	1.04905	1.23839
2400	-17390.32	-17372.77	-17.55583	26.29095	0.252714	0.248633	0.245798	0.252854	0.06860233	0.157923	0.406229	4.95835	0.0787728	0.000773075	0.0019886	0.0242724	0.000385613	0.295262	0.704738	0.05048313	0.01009582	0.682041	0	0.5564461	3.071177	1	1	1.427268	0.7047383	0.2952617	82.54929	0.004895259	3.071177	0.76413	0.926293	1.05202	1.25756
