Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
289200	-17396.86	-17373.96	-22.89217	10.64721	0.254423	0.246249	0.255394	0.243935	0.3701914	0.244788	0.257126	14.6118	0.602761	0.000405079	0.000425497	0.0241799	0.00099746	0.475406	0.524594	0.01697253	0.002362374	0.729595	0	0.7575885	3.121455	1	1	1.224426	0.5245936	0.4754064	54.75705	0.001654818	3.121455	0.641715	0.875597	1.07106	1.41163
289300	-17393.08	-17372.87	-20.21543	29.74859	0.252795	0.249163	0.247286	0.250755	0.04032829	0.226103	0.699862	17.7324	0.424448	0.000246408	0.000762712	0.0193248	0.000462565	0.402868	0.597132	0.01270636	0.01837878	1.85105	0	0.7736345	3.867503	1	1	1.157023	0.597132	0.402868	89.18203	0.001089803	3.867503	0.777523	0.931267	1.04956	1.24165
289400	-17395.03	-17374.05	-20.97712	46.73642	0.248544	0.246264	0.251471	0.253721	0.07683306	0.0900379	0.306402	17.4651	1.77572	0.000118501	0.000403264	0.0229863	0.00233707	0.492106	0.507894	0.06832693	0.01607627	0.711927	0	1.125925	3.272655	1	1	1.201524	0.5078942	0.4921058	6.28733	0.001316125	3.272655	0.820676	0.946595	1.04119	1.19154
289500	-17396.84	-17375.14	-21.69724	20.64556	0.251033	0.245762	0.254851	0.248354	0.02622893	0.0981271	0.130839	13.5483	2.47168	0.000132873	0.000177168	0.0183455	0.00334687	0.244143	0.755857	0.01086236	0.009292695	1.29327	0	1.271651	3.965977	1	1	1.185078	0.7558569	0.2441431	31.38899	0.001354088	3.965977	0.735755	0.915402	1.057	1.29184
289600	-17394.82	-17374.76	-20.0559	16.33229	0.25428	0.24346	0.252444	0.249816	0.2388633	0.151181	0.527174	8.12846	0.482692	0.00040821	0.00142344	0.021948	0.00130333	0.106061	0.893939	0.02506283	0.03243157	0.517856	0	0.5580315	3.428276	1	1	1.257882	0.8939395	0.1060605	91.88849	0.002700137	3.428276	0.705323	0.903166	1.06198	1.32953
289700	-17391.73	-17372.2	-19.53576	48.73062	0.250606	0.244461	0.249316	0.255617	0.1701984	0.0881301	0.163089	5.42033	0.523713	0.000288733	0.000534314	0.0177581	0.00171579	0.0194748	0.980525	0.1293886	0.01889136	1.32974	0	0.3503484	3.924574	1	1	1.252862	0.9805252	0.01947479	23.95493	0.00327621	3.924574	0.82424	0.947815	1.04047	1.18747
289800	-17389.53	-17374.37	-15.15614	23.07791	0.255508	0.245045	0.244596	0.254851	0.02878184	0.336062	0.63236	4.5504	0.3704	0.00130249	0.00245087	0.0176362	0.00143558	0.127214	0.872786	0.05738984	0.01324084	0.103208	0	0.8926957	3.994293	1	1	1.46467	0.8727862	0.1272138	7.146708	0.003875748	3.994293	0.749196	0.920622	1.05468	1.2755
289900	-17398.99	-17377.34	-21.65162	47.84116	0.253389	0.240316	0.24754	0.258756	0.2838583	0.0804143	0.17923	3.11215	0.579053	0.000477483	0.00106423	0.0184793	0.00343829	0.828264	0.171736	0.08888506	0.04278299	1.38016	0	2.031086	3.558955	1	1	1.416719	0.1717363	0.8282637	57.96936	0.005937783	3.558955	0.822677	0.947281	1.04079	1.18925
290000	-17388.27	-17373.05	-15.21924	41.9702	0.256354	0.245267	0.248751	0.249628	0.1258016	0.0945735	0.172769	4.31439	0.324255	0.000394764	0.000721163	0.0180089	0.00135349	0.667549	0.332451	0.009430576	0.01520143	1.77965	0	0.9026479	3.926499	1	1	1.323496	0.3324509	0.6675491	19.34887	0.004174153	3.926499	0.811182	0.943312	1.04309	1.20241
290100	-17392.84	-17373.09	-19.74878	27.82198	0.253707	0.246318	0.252071	0.247903	0.06418877	0.163693	0.259383	4.89229	0.426088	0.000715911	0.00113441	0.0213963	0.00186349	0.80918	0.19082	0.09008796	0.008948251	1.1959	0	0.1700215	3.455426	1	1	1.278164	0.1908195	0.8091805	16.79923	0.004373485	3.455426	0.770355	0.928618	1.05089	1.25014
290200	-17391.06	-17371.35	-19.70758	49.35654	0.24795	0.246362	0.255566	0.250121	0.1670836	0.274933	0.587625	6.32257	2.15643	0.000782978	0.00167349	0.018006	0.00614126	0.904188	0.0958121	0.01825323	0.009846848	0.454647	0	0.5863725	3.344272	1	1	1.335208	0.09581215	0.9041879	46.70583	0.002847888	3.344272	0.825315	0.948181	1.04025	1.18625
290300	-17387.25	-17373.49	-13.76383	23.94978	0.248433	0.248554	0.250297	0.252716	0.1396353	0.332961	0.56974	3.5423	0.742272	0.00179479	0.00307113	0.0190944	0.00400115	0.878858	0.121142	0.01715522	0.003162399	0.251198	0	0.6721904	3.198671	1	1	1.21044	0.1211424	0.8788576	4.273673	0.005390404	3.198671	0.75353	0.922282	1.05392	1.27027
290400	-17393.22	-17375.68	-17.54248	36.61892	0.249003	0.2535	0.245463	0.252034	0.08691117	0.190815	0.701016	3.56489	1.92398	0.000686191	0.00252092	0.0128197	0.00691881	0.0789436	0.921056	0.105047	0.009329541	0.201467	0	0.5132147	3.915439	1	1	1.348388	0.9210564	0.07894357	11.03858	0.003596099	3.915439	0.79846	0.938835	1.04558	1.21712
290500	-17392.81	-17373.51	-19.30581	28.78237	0.243507	0.249454	0.254263	0.252776	0.0999991	0.521747	0.84063	4.20557	0.416977	0.00227867	0.00367136	0.0183674	0.0018211	0.29033	0.70967	0.07525003	0.005847875	0.153509	0	1.735495	3.622933	1	1	1.413103	0.7096697	0.2903303	49.40321	0.004367389	3.622933	0.774015	0.929974	1.05021	1.2458
290600	-17386.88	-17372.48	-14.40424	12.76579	0.252222	0.247363	0.2488	0.251614	0.07869392	0.153334	0.173759	2.45359	0.20751	0.00107952	0.00122332	0.0172741	0.00146094	0.430813	0.569187	0.0346627	0.0276496	0.225743	0	0.573984	3.899883	1	1	1.319273	0.569187	0.430813	41.13358	0.007040334	3.899883	0.670011	0.888208	1.06725	1.37453
290700	-17390.48	-17371.83	-18.65259	7.050391	0.252827	0.246589	0.252557	0.248027	0.07520733	0.142158	0.264103	5.4269	0.306629	0.000591372	0.00109866	0.0225757	0.00127556	0.254405	0.745595	0.1183706	0.01807545	0.981097	0	0.4154789	3.190627	1	1	1.294686	0.7455954	0.2544046	88.36954	0.004159954	3.190627	0.569928	0.840872	1.07884	1.51036
290800	-17389.54	-17372.39	-17.15817	39.26162	0.251124	0.251045	0.250273	0.247558	0.05997435	0.108244	0.27773	4.75808	0.653051	0.000386502	0.000991679	0.0169895	0.00233182	0.510364	0.489636	0.008941653	0.02335657	0.61294	0	1.626184	3.840983	1	1	1.295997	0.4896364	0.5103636	38.16624	0.003570655	3.840983	0.805058	0.941168	1.0443	1.20948
290900	-17389.64	-17372.98	-16.66674	30.72472	0.257273	0.24362	0.249298	0.249809	0.05806076	0.0649262	0.162791	2.96129	0.795388	0.000418067	0.00104823	0.0190681	0.00512159	0.00598496	0.994015	0.01282408	0.0222141	1.23341	0	1.207275	3.451814	1	1	1.212325	0.994015	0.005984958	59.52729	0.006439117	3.451814	0.780904	0.932506	1.04893	1.23766
291000	-17394.14	-17377.23	-16.91195	11.86626	0.255201	0.243604	0.258053	0.243142	0.134766	0.186705	0.418104	3.94965	0.418672	0.000947388	0.00212156	0.0200415	0.00212444	0.0240403	0.97596	0.03961477	0.02453638	0.12945	0	1.48489	3.36577	1	1	1.362188	0.9759597	0.02404033	29.66101	0.00507424	3.36577	0.658856	0.883305	1.0688	1.38904
291100	-17395.93	-17379.35	-16.57894	37.12213	0.251816	0.24897	0.244877	0.254337	0.08057363	0.107905	0.323767	3.97019	1.43235	0.000566993	0.00170126	0.0208616	0.00752636	0.0165081	0.983492	0.0398529	0.01914565	1.15585	0	0.6053593	3.267674	1	1	1.41815	0.9834919	0.0165081	16.73041	0.005254569	3.267674	0.799769	0.939299	1.04533	1.2156
291200	-17394.16	-17376.16	-18.00473	19.95339	0.243876	0.251078	0.245008	0.260038	0.28513	0.0497665	0.137125	1.7945	1.04918	0.000477607	0.00131598	0.0172218	0.010069	0.0906511	0.909349	0.002789014	0.01233407	0.951854	0	1.18477	3.38664	1	1	1.346875	0.9093489	0.09065108	17.33396	0.009596965	3.38664	0.731511	0.913731	1.05772	1.29704
291300	-17389.88	-17372.82	-17.05849	38.84754	0.25244	0.248546	0.253232	0.245782	0.03397969	0.0965972	0.257531	1.12127	0.792559	0.00109484	0.00291887	0.0127085	0.0089829	0.661542	0.338458	0.05912261	0.01999263	0.268444	0	2.115362	3.513156	1	1	1.284494	0.3384579	0.6615421	36.23196	0.01133405	3.513156	0.804067	0.940819	1.04449	1.21062
291400	-17386.21	-17373.77	-12.43653	28.67066	0.248792	0.252142	0.248393	0.250674	0.1169526	0.0862726	0.0909968	0.686734	0.9149	0.00146093	0.00154092	0.011629	0.0154928	0.00184439	0.998156	0.0792379	0.00132608	0.725231	0	0.6403595	3.110612	1	1	1.269433	0.9981556	0.001844387	2.157001	0.01693383	3.110612	0.773598	0.92982	1.05029	1.24629
291500	-17390.47	-17373.86	-16.60818	4.249679	0.249756	0.239502	0.256788	0.253954	0.1910197	0.0484388	0.0962339	1.02965	0.802485	0.000698744	0.00138821	0.014853	0.0115761	0.288444	0.711556	0.04410823	0.02553699	0.192719	0	1.077657	3.299238	1	1	1.332715	0.7115556	0.2884444	25.57739	0.01442532	3.299238	0.467574	0.783424	1.08429	1.66472
291600	-17393.16	-17376.04	-17.12207	9.372449	0.244414	0.247306	0.255945	0.252336	0.4559407	0.0849375	0.0845355	1.24875	0.152452	0.00150165	0.00149454	0.0220773	0.00269526	0.829639	0.170361	0.05593707	0.005293339	0.106001	0	0.8719003	3.044858	1	1	1.313087	0.1703608	0.8296392	4.943133	0.01767944	3.044858	0.620632	0.865819	1.07363	1.43992
291700	-17390.55	-17374.89	-15.65926	44.90917	0.248409	0.248492	0.254864	0.248234	0.08797247	0.0759447	0.197629	1.32384	0.361875	0.00123993	0.00322665	0.021614	0.00590825	0.856245	0.143755	0.1300711	0.01855248	0.406693	0	0.6166454	3.017569	1	1	1.358908	0.1437551	0.8562449	32.85989	0.01632679	3.017569	0.81721	0.945402	1.04189	1.1955
291800	-17391.86	-17375.86	-16.002	10.979	0.251812	0.257731	0.241945	0.248511	0.201569	0.172541	0.289549	0.18604	1.36564	0.0022526	0.00378018	0.00242882	0.0178289	0.761976	0.238024	0.08676977	0.01992964	0.150687	0	0.5654491	3.812764	1	1	1.346221	0.2380236	0.7619764	59.5513	0.01305539	3.812764	0.64664	0.877833	1.07042	1.40511
291900	-17392.19	-17375.98	-16.20971	31.34584	0.24941	0.246198	0.260297	0.244094	0.06715615	0.13536	0.363906	0.544685	2.49297	0.00112831	0.00303336	0.00454026	0.0207803	0.754323	0.245677	0.05787899	0.004031311	0.452765	0	1.101873	3.136405	1	1	1.231148	0.245677	0.754323	77.83816	0.008335567	3.136405	0.782976	0.933262	1.04854	1.23522
292000	-17396.52	-17381.64	-14.88308	30.08576	0.254123	0.240836	0.247457	0.257584	0.03120843	0.454098	0.608082	1.26529	2.22988	0.00275783	0.00369302	0.00768436	0.0135426	0.582743	0.417257	0.04547181	0.004356389	0.41292	0	0.8277066	3.434182	1	1	1.584511	0.4172574	0.5827426	6.581776	0.006073218	3.434182	0.778709	0.931702	1.04934	1.24025
292100	-17389.46	-17375.41	-14.04918	26.85343	0.252705	0.253744	0.242566	0.250985	0.1130393	0.0610188	0.237062	0.876789	2.47433	0.000569313	0.00221182	0.00818055	0.0230858	0.447949	0.552051	0.007220495	0.01117057	0.337848	0	0.5037147	3.036898	1	1	1.356123	0.5520514	0.4479486	4.864345	0.009330115	3.036898	0.766476	0.927172	1.05159	1.25476
292200	-17394.11	-17375.35	-18.76469	22.78438	0.2527	0.247531	0.256169	0.243599	0.0826288	0.219206	0.190136	0.381141	4.04165	0.00128506	0.00111464	0.00223437	0.0236935	0.343539	0.656461	0.1463575	0.0229012	0.715486	0	1.426133	3.952979	1	1	1.358386	0.6564608	0.3435392	48.37402	0.005862319	3.952979	0.747683	0.92004	1.05495	1.27733
292300	-17396.81	-17373.21	-23.59953	46.00204	0.246644	0.252991	0.251582	0.248782	0.3529746	0.0982544	0.0868202	0.143666	2.53981	0.00101462	0.000896547	0.00148357	0.0262273	0.437679	0.562321	0.2496672	0.01847201	0.474718	0	1.497914	3.679426	1	1	1.311237	0.5623206	0.4376794	86.82769	0.01032649	3.679426	0.819307	0.946125	1.04147	1.1931
292400	-17388.39	-17376.41	-11.97232	46.31606	0.249636	0.243946	0.255747	0.250671	0.09691059	0.15183	0.160605	0.828433	0.824833	0.00208067	0.00220093	0.0113529	0.0113035	0.230441	0.769559	0.003231281	0.01917836	0.358835	0	0.6394551	3.364212	1	1	1.459101	0.7695592	0.2304408	8.648548	0.01370401	3.364212	0.819896	0.946327	1.04135	1.19243
292500	-17390.68	-17377.69	-12.98514	10.92154	0.256154	0.248173	0.245534	0.250139	0.04653818	0.218171	0.226151	0.813181	0.136072	0.00482582	0.00500234	0.0179871	0.00300984	0.496113	0.503887	0.04968757	0.002283241	0.329136	0	0.6547804	3.377543	1	1	1.329752	0.5038874	0.4961126	23.15767	0.02211945	3.377543	0.645802	0.877454	1.07053	1.40621
292600	-17393.36	-17378.83	-14.53305	7.660192	0.247356	0.240236	0.255291	0.257118	0.2839227	0.294505	0.272398	0.549607	0.285908	0.00791251	0.00731857	0.0147664	0.00768155	0.304446	0.695554	0.05384109	0.01030837	0.148709	0	0.7674695	3.279892	1	1	1.185695	0.6955541	0.3044459	22.10851	0.02686721	3.279892	0.585223	0.848619	1.07742	1.48874
292700	-17391.85	-17378.19	-13.6581	35.38514	0.263009	0.244292	0.249131	0.243568	0.1563297	0.107461	0.310681	0.713036	0.23132	0.00267006	0.00771945	0.0177167	0.00574756	0.172031	0.827969	0.01268576	0.02594682	0.137788	0	0.4785317	3.161669	1	1	1.266733	0.8279695	0.1720305	33.54983	0.02484685	3.161669	0.795139	0.937651	1.04623	1.22098
292800	-17386.25	-17372.2	-14.04923	33.49348	0.250268	0.249449	0.251792	0.24849	0.2495211	0.153561	0.264487	0.892135	0.0801871	0.00367203	0.00632454	0.0213332	0.00191747	0.387296	0.612704	0.04155972	0.0001831893	0.172471	0	0.7249234	3.233999	1	1	1.315677	0.6127036	0.3872964	8.212397	0.02391249	3.233999	0.789707	0.935701	1.04727	1.22732
292900	-17389.9	-17371.98	-17.91387	20.42796	0.252208	0.244444	0.253862	0.249486	0.0999744	0.0949799	0.178287	0.744942	0.440935	0.00166916	0.00313319	0.0130915	0.00774893	0.612152	0.387848	0.0982405	0.004228091	0.175571	0	2.367087	3.641912	1	1	1.410899	0.3878481	0.6121519	44.65039	0.01757384	3.641912	0.734443	0.914887	1.05722	1.29345
293000	-17389.17	-17373.2	-15.96815	39.77887	0.244363	0.249765	0.252472	0.2534	0.187441	0.0784202	0.164481	0.979613	0.226415	0.00128283	0.00269065	0.0160249	0.00370379	0.414732	0.585268	0.07290165	0.01999297	0.52798	0	0.9295388	3.923379	1	1	1.270084	0.5852681	0.4147319	59.07025	0.0163584	3.923379	0.806274	0.941595	1.04406	1.20807
293100	-17392.59	-17377.78	-14.81392	48.926	0.248691	0.247788	0.260183	0.243338	0.1827096	0.223554	0.337243	0.63326	0.859773	0.00347108	0.00523629	0.00983248	0.0133495	0.0479942	0.952006	0.07882946	0.02117843	0.155425	0	1.124413	3.119349	1	1	1.211542	0.9520058	0.04799418	26.5684	0.01552676	3.119349	0.824578	0.94793	1.0404	1.18709
293200	-17390.88	-17374.48	-16.39714	41.10446	0.257547	0.240526	0.250207	0.25172	0.05354486	0.118707	0.203637	0.996923	0.790066	0.00136715	0.00234529	0.0114816	0.00909919	0.153635	0.846365	0.097895	0.01023708	0.333832	0	2.306917	3.883848	1	1	1.442122	0.8463647	0.1536353	7.821903	0.011517	3.883848	0.809289	0.942651	1.04347	1.20459
293300	-17389.33	-17373.64	-15.68547	7.857561	0.253891	0.241905	0.250461	0.253744	0.05302038	0.0655232	0.157824	0.597524	2.85066	0.000629203	0.00151555	0.00573788	0.0273742	0.420714	0.579286	0.07912748	0.01253495	0.218033	0	0.5261818	3.43047	1	1	1.346978	0.5792861	0.4207139	10.43348	0.009602759	3.43047	0.589828	0.850913	1.07697	1.48229
293400	-17390.46	-17374.08	-16.38063	35.11338	0.253448	0.247201	0.250886	0.248465	0.08549273	0.343838	0.715437	1.22612	2.70462	0.00173001	0.00359971	0.00616921	0.0136083	0.0532937	0.946706	0.1233873	0.01033766	0.182956	0	1.069589	3.926995	1	1	1.298443	0.9467063	0.05329366	6.74211	0.005031488	3.926995	0.794385	0.937381	1.04637	1.22186
293500	-17391.18	-17372.26	-18.92013	39.24658	0.252251	0.249027	0.249318	0.249404	0.03436309	0.143389	0.1969	2.05001	3.66708	0.000722027	0.000991475	0.0103227	0.0184653	0.57539	0.42461	0.09662675	0.006363055	0.737661	0	1.079881	3.364928	1	1	1.309794	0.4246105	0.5753895	37.90037	0.005035429	3.364928	0.805022	0.941155	1.04431	1.20952
293600	-17389.67	-17373.14	-16.52963	35.459	0.248372	0.250959	0.255126	0.245543	0.09986836	0.0798829	0.271279	0.819567	3.2268	0.000494845	0.00168047	0.00507691	0.0199888	0.912946	0.0870538	0.06589244	0.01225864	0.439962	0	0.6473343	3.986132	1	1	1.273781	0.08705377	0.9129462	29.62644	0.006194629	3.986132	0.795342	0.937724	1.04619	1.22075
293700	-17390.16	-17375.99	-14.17084	28.68921	0.247428	0.253639	0.247567	0.251367	0.1015781	0.111265	0.497898	0.955829	1.23576	0.000997307	0.00446285	0.00856745	0.0110765	0.348054	0.651946	0.002230488	0.01648525	0.1709	0	0.4461813	3.823986	1	1	1.510737	0.6519463	0.3480537	20.20757	0.008963375	3.823986	0.773667	0.929846	1.05028	1.24621
293800	-17395.52	-17375.84	-19.67867	6.905803	0.253776	0.247672	0.251992	0.24656	0.5607911	0.632246	0.567206	1.1661	1.65773	0.00534526	0.00479538	0.00985867	0.0140151	0.347991	0.652009	0.05734416	0.01039596	0.22329	0	0.5427377	3.264978	1	1	1.214434	0.6520085	0.3479915	4.673876	0.0084544	3.264978	0.56604	0.838871	1.07917	1.51591
293900	-17388.98	-17373.6	-15.37547	16.55469	0.24549	0.247018	0.256367	0.251124	0.1636299	0.322009	0.900767	2.72751	1.29482	0.00153775	0.0043016	0.0130252	0.0061834	0.0638493	0.936151	0.08883318	0.005730149	0.318126	0	0.5699938	3.988964	1	1	1.351532	0.9361507	0.06384926	2.189465	0.004775488	3.988964	0.707161	0.903922	1.06169	1.32723
294000	-17389.92	-17372.78	-17.13904	10.01431	0.245872	0.246086	0.252986	0.255055	0.01363812	0.0935156	0.388566	3.17535	2.5402	0.000362794	0.00150744	0.0123188	0.00985469	0.182482	0.817518	0.03485717	0.002792244	0.510258	0	0.756711	3.857908	1	1	1.250399	0.8175177	0.1824823	12.55714	0.003879501	3.857908	0.631708	0.870998	1.07231	1.42499
294100	-17395.76	-17383.47	-12.29168	44.78167	0.244903	0.257974	0.253534	0.243589	0.04725537	0.172445	0.134391	3.46036	0.454367	0.000840456	0.000654987	0.0168649	0.00221447	0.060572	0.939428	0.04310716	0.01928546	2.01403	0	0.593929	3.989326	1	1	1.42587	0.939428	0.060572	1.667621	0.00487375	3.989326	0.816961	0.945316	1.04194	1.19578
294200	-17394.21	-17377.96	-16.25271	1.829242	0.249875	0.247953	0.247866	0.254306	0.08915515	0.0541468	0.174648	2.5968	0.136522	0.000476358	0.00153647	0.0228454	0.00120106	0.106586	0.893414	0.03774361	0.02416904	0.692589	0	1.549661	3.140709	1	1	1.190762	0.8934142	0.1065858	19.80882	0.008797528	3.140709	0.272003	0.635534	1.06506	2.0274
294300	-17399.22	-17377.77	-21.45363	7.869504	0.248038	0.251976	0.248845	0.251141	0.2690279	0.440881	0.195509	1.43196	2.13519	0.00335091	0.00148597	0.0108836	0.0162285	0.0918615	0.908138	0.2204608	0.01192208	0.330351	0	1.339961	3.159708	1	1	1.382728	0.9081385	0.09186152	58.40553	0.00760049	3.159708	0.590101	0.851049	1.07694	1.48191
294400	-17393.6	-17374.77	-18.82548	27.87414	0.254274	0.246495	0.253595	0.245636	0.1368931	0.189551	0.392382	2.73887	4.19439	0.000745491	0.00154321	0.0107718	0.0164962	0.387569	0.612431	0.01991522	0.01265373	0.900508	0	1.637396	3.311137	1	1	1.257138	0.6124313	0.3875687	13.59845	0.003932919	3.311137	0.770559	0.928694	1.05085	1.2499
294500	-17398.69	-17377.12	-21.57744	46.0205	0.248694	0.244369	0.248576	0.258362	0.05680158	0.760427	1.75878	2.21024	4.14854	0.00242653	0.00561231	0.00705292	0.0132381	0.114091	0.885909	0.03734074	0.004265973	0.49017	0	0.3178247	3.83698	1	1	1.361338	0.8859086	0.1140914	43.83241	0.003191013	3.83698	0.819342	0.946137	1.04146	1.19306
294600	-17395.62	-17379.5	-16.12392	17.37988	0.253982	0.251556	0.239127	0.255334	0.1709242	0.228705	1.00134	0.50328	5.03213	0.00097929	0.00428762	0.00215499	0.021547	0.46861	0.53139	0.08642506	0.00441126	0.229376	0	0.8188952	3.599747	1	1	1.215318	0.5313903	0.4686097	3.528814	0.004281891	3.599747	0.713688	0.906588	1.06065	1.31907
294700	-17395.41	-17376.11	-19.30163	35.61838	0.256149	0.25053	0.251417	0.241904	0.2072834	0.252967	0.77345	0.811177	2.01608	0.00197012	0.00602367	0.00631749	0.0157013	0.572353	0.427647	0.07423464	0.01391332	0.218821	0	1.564347	3.349617	1	1	1.406994	0.4276465	0.5723535	93.8646	0.007788049	3.349617	0.79578	0.93788	1.0461	1.22024
294800	-17389.83	-17374.79	-15.044	9.454104	0.244298	0.25683	0.247187	0.251684	0.09834739	0.155578	0.18961	1.00455	1.92417	0.00115304	0.00140526	0.00744501	0.0142606	0.810847	0.189153	0.09083242	6.018743e-05	0.36008	0	0.7525072	3.795115	1	1	1.332402	0.189153	0.810847	16.22206	0.007411315	3.795115	0.622098	0.86651	1.07346	1.43793
294900	-17391.64	-17376.43	-15.20804	28.81145	0.255347	0.243613	0.248138	0.252902	0.07439173	0.229217	0.36649	1.31374	1.43753	0.00181203	0.00289722	0.0103855	0.0113641	0.664871	0.335129	0.0139887	0.002050699	0.107574	0	0.9619824	3.841671	1	1	1.628406	0.3351293	0.6648707	44.34328	0.007905309	3.841671	0.774123	0.930014	1.05019	1.24567
295000	-17390.17	-17374.48	-15.68486	40.79387	0.253539	0.247692	0.25435	0.244418	0.04139047	0.0636913	0.299561	0.305067	1.35928	0.000998122	0.0046945	0.00478078	0.0213016	0.486163	0.513837	0.106536	0.009353386	0.144428	0	0.4639562	3.296977	1	1	1.401532	0.5138368	0.4861632	26.76608	0.01567126	3.296977	0.808595	0.942409	1.0436	1.20539
295100	-17389.11	-17376.7	-12.41233	40.75293	0.248974	0.256372	0.24429	0.250364	0.07182526	0.237678	0.555333	0.453029	1.06677	0.00350293	0.00818457	0.0066768	0.0157222	0.292716	0.707284	0.01664578	0.009349577	0.186148	0	0.8743129	3.451253	1	1	1.466014	0.7072844	0.2927156	9.885886	0.01473813	3.451253	0.808503	0.942377	1.04362	1.2055
295200	-17388.36	-17374.03	-14.32616	3.553357	0.247548	0.251201	0.249995	0.251255	0.05265579	0.0975745	0.271475	0.920214	1.63133	0.000873195	0.00242943	0.00823501	0.0145988	0.597396	0.402604	0.006376155	0.0180907	0.57473	0	1.152513	3.906853	1	1	1.44355	0.4026037	0.5973963	19.22522	0.008949012	3.906853	0.428005	0.758194	1.08416	1.72964
295300	-17390.51	-17374.44	-16.07181	24.00471	0.25808	0.245113	0.251046	0.245762	0.09723958	0.186776	0.260406	0.133775	2.2251	0.0021339	0.00297513	0.00152837	0.0254216	0.508396	0.491604	0.1198852	0.01640145	0.158186	0	0.7022473	3.351	1	1	1.221084	0.4916044	0.5083956	53.70281	0.01142493	3.351	0.753796	0.922383	1.05387	1.26995
295400	-17389.71	-17374.27	-15.44767	20.38164	0.255814	0.245806	0.253855	0.244525	0.1294888	0.116938	0.374094	1.28403	3.05193	0.000553841	0.00177178	0.00608142	0.0144546	0.946139	0.0538606	0.007216045	0.01459987	0.258658	0	0.8226973	3.999485	1	1	1.408506	0.05386056	0.9461394	15.26376	0.0047362	3.999485	0.734161	0.914776	1.05727	1.29379
295500	-17387.51	-17372.4	-15.11338	41.49271	0.248727	0.247972	0.250406	0.252896	0.1691237	0.14242	0.27634	0.578768	3.81469	0.000802997	0.00155807	0.00326323	0.0215081	0.0815459	0.918454	0.07642375	0.01046344	0.100894	0	0.6212122	3.695326	1	1	1.189405	0.9184541	0.08154588	6.145605	0.005638234	3.695326	0.810145	0.94295	1.0433	1.20361
295600	-17392.77	-17375.83	-16.94283	35.19359	0.242286	0.251804	0.255842	0.250067	0.04841183	0.0319473	0.0923708	0.15812	2.88262	0.000384252	0.00111101	0.00190182	0.0346713	0.751338	0.248662	0.03612633	0.01598853	0.81043	0	1.696056	3.817659	1	1	1.369878	0.2486617	0.7513383	4.107371	0.01202769	3.817659	0.794608	0.937461	1.04633	1.2216
295700	-17393.89	-17377.11	-16.78033	19.56488	0.250116	0.245252	0.251536	0.253097	0.166649	0.040105	0.0797212	0.619062	1.07089	0.000643474	0.00127911	0.00993268	0.0171821	0.910038	0.0899622	0.03303925	0.01403816	1.07602	0	0.9483859	3.806627	1	1	1.548691	0.08996223	0.9100378	22.20938	0.01604473	3.806627	0.729036	0.912751	1.05813	1.30008
295800	-17388.13	-17373.47	-14.66027	45.2488	0.256771	0.247096	0.249181	0.246952	0.1679334	0.0566201	0.0616761	0.397237	1.20591	0.000920132	0.0010023	0.0064555	0.0195972	0.0366825	0.963318	0.01093484	0.002895443	0.709569	0	0.9071272	3.948123	1	1	1.326265	0.9633175	0.03668248	7.818245	0.01625099	3.948123	0.81787	0.94563	1.04176	1.19474
295900	-17394.31	-17377.02	-17.29794	42.20593	0.253237	0.245983	0.250813	0.249966	0.04355951	0.0584666	0.113791	0.733018	0.673556	0.00101323	0.001972	0.0127032	0.0116727	0.0917601	0.90824	0.2188711	0.02251171	0.394998	0	1.563248	3.496109	1	1	1.258295	0.9082399	0.09176007	6.680614	0.01733001	3.496109	0.811688	0.943488	1.04299	1.20183
296000	-17386.4	-17371.71	-14.68999	5.602761	0.249774	0.249373	0.252071	0.248783	0.09816316	0.0949225	0.218248	0.521567	1.00711	0.0015959	0.00366934	0.00876895	0.0169322	0.596778	0.403222	0.04143766	0.02049063	0.147961	0	0.5662774	3.29026	1	1	1.346811	0.4032223	0.5967777	64.065	0.0168127	3.29026	0.525337	0.817106	1.08212	1.57543
296100	-17389.04	-17375.45	-13.59457	36.37	0.243929	0.255605	0.248495	0.251971	0.08628515	0.0594375	0.104885	0.828109	1.0834	0.000695659	0.00122758	0.00969223	0.0126801	0.308093	0.691907	0.003704063	0.01151501	0.143048	0	0.8157	3.716777	1	1	1.246198	0.6919072	0.3080928	15.08408	0.01170405	3.716777	0.797803	0.938601	1.04571	1.21788
296200	-17389.35	-17375.26	-14.09442	26.5224	0.252136	0.249962	0.249067	0.248835	0.1076857	0.485635	0.490113	0.699739	0.74502	0.00794644	0.00801972	0.0114498	0.0121908	0.487253	0.512747	0.05433427	0.007393285	0.161443	0	0.6740057	3.120416	1	1	1.350442	0.5127469	0.4872531	29.16499	0.016363	3.120416	0.765104	0.926658	1.05184	1.25639
