Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
1400	-17389.82	-17385.27	-4.554677	48.87029	0.246373	0.252708	0.251551	0.249368	0.1580246	0.105261	0.199355	0.521814	4.6465	0.000572501	0.00108427	0.00283808	0.0252717	0.211169	0.788831	0.02857895	0.001	3.01857	1.04438	0	1.656307	3.858263	1	1	1	1.392374	0.7888312	0.2111688	0.01	0.005438876	3.858263	0.824482	0.947897	1.04042	1.1872
1500	-17390.72	-17386.76	-3.962267	46.4601	0.245938	0.253222	0.248462	0.252378	0.05738602	0.390577	0.455039	1.05952	4.29433	0.00174275	0.00203038	0.00472757	0.0191613	0.0730986	0.926901	0.003214378	0.001	2.99894	0.983543	0	1.737973	3.574681	1	1	1	1.4346	0.9269014	0.07309858	0.01	0.004461991	3.574681	0.820165	0.946419	1.0413	1.19212
1600	-17397.93	-17391.3	-6.626735	21.01974	0.257365	0.243104	0.254915	0.244615	0.06218498	0.229724	0.282233	2.0761	7.58056	0.000696843	0.000856123	0.00629765	0.0229948	0.0621443	0.937856	0.06629248	0.001	2.96207	1.01969	0	1.486141	3.955607	1	1	1	1.117061	0.9378557	0.06214425	0.01	0.003033397	3.955607	0.737966	0.916269	1.05662	1.28914
1700	-17395.79	-17388.47	-7.318033	37.85	0.25732	0.24502	0.244837	0.252823	0.198169	0.675357	0.580779	0.354882	7.42552	0.00180354	0.00155097	0.000947714	0.0198298	0.251028	0.748972	0.19441	0.001	2.96256	1.02241	0	1.037925	3.982776	1	1	1	1.276382	0.7489717	0.2510283	0.01	0.002670501	3.982776	0.801617	0.939954	1.04497	1.21346
1800	-17392.81	-17386.97	-5.836413	30.5039	0.254218	0.2414	0.254014	0.250368	0.1485687	0.530543	0.650083	1.00557	9.36229	0.00118595	0.00145316	0.0022478	0.020928	0.197779	0.802221	0.001175959	0.001	2.98259	0.957993	0	1.157663	3.865583	1	1	1	1.367664	0.8022212	0.1977788	0.01	0.002235352	3.865583	0.780153	0.932231	1.04907	1.23854
1900	-17394.26	-17388.63	-5.622479	22.79174	0.252671	0.242637	0.249242	0.25545	0.1193986	0.166341	0.295963	0.204847	9.81141	0.000496225	0.00088291	0.000611096	0.0292692	0.395563	0.604437	0.03544536	0.001	3.02423	0.962689	0	0.2643609	3.699565	1	1	1	1.217216	0.6044367	0.3955633	0.01	0.002983179	3.699565	0.747722	0.920055	1.05494	1.27728
2000	-17392.3	-17385.89	-6.408548	27.76286	0.25138	0.243519	0.249088	0.256012	0.0732524	0.246419	0.455826	1.36728	5.07482	0.000820129	0.00151707	0.00455054	0.0168899	0.0995462	0.900454	0.06292289	0.001	2.98006	1.01097	0	2.16785	3.968791	1	1	1	1.391291	0.9004538	0.09954621	0.01	0.003328183	3.968791	0.770124	0.928532	1.05093	1.25042
2100	-17398.49	-17390.69	-7.792476	1.378588	0.250309	0.248144	0.246981	0.254566	0.08731837	0.227569	0.659044	3.51734	9.01905	0.000392254	0.00113597	0.00606273	0.0155459	0.527475	0.472525	0.06901255	0.001	2.97008	1.04736	0	0.5374557	3.954958	1	1	1	1.301166	0.472525	0.527475	0.01	0.001723667	3.954958	0.205943	0.567015	1.04242	2.18462
2200	-17396.52	-17387.57	-8.953989	47.10227	0.24236	0.250295	0.257297	0.250048	0.2897471	0.666433	0.928322	2.32296	4.80849	0.00188801	0.00262994	0.00658094	0.0136225	0.412439	0.587561	0.0446257	0.001	2.98137	1.04217	0	1.48537	3.885361	1	1	1	1.256655	0.587561	0.412439	0.01	0.002833002	3.885361	0.821346	0.946825	1.04106	1.19077
2300	-17393.49	-17386.83	-6.660093	33.18231	0.253213	0.246496	0.25322	0.24707	0.141954	0.533449	0.511524	0.773611	3.80752	0.00255743	0.00245232	0.0037088	0.0182538	0.285786	0.714214	0.08168471	0.001	3.0036	0.950119	0	2.462215	3.879486	1	1	1	1.211585	0.7142142	0.2857858	0.01	0.00479414	3.879486	0.788771	0.935364	1.04745	1.22842
2400	-17390.69	-17387.64	-3.046885	49.39607	0.253951	0.246862	0.252556	0.246631	0.07790665	0.285696	0.401191	1.69309	2.75695	0.00135715	0.00190579	0.00804273	0.0130964	0.274573	0.725427	0.09193685	0.001	2.98263	0.997474	0	0.835564	3.825524	1	1	1	1.211274	0.7254273	0.2745727	0.01	0.004750333	3.825524	0.825383	0.948204	1.04024	1.18617
2500	-17389.24	-17386.59	-2.652182	47.06503	0.248941	0.249915	0.249173	0.251971	0.0534608	0.429926	0.882026	0.578761	4.84159	0.00194	0.00398007	0.00261161	0.0218473	0.0187162	0.981284	0.01149617	0.001	2.95414	0.986327	0	0.9449388	3.564437	1	1	1	1.204736	0.9812838	0.01871619	0.01	0.004512419	3.564437	0.821278	0.946802	1.04107	1.19085
2600	-17391.48	-17389.65	-1.829606	32.22982	0.244541	0.254807	0.24812	0.252532	0.1007963	0.100457	0.263512	0.737201	2.18866	0.000780214	0.0020466	0.00572556	0.0169985	0.217442	0.782558	0.0919009	0.001	2.98593	0.970616	0	0.7475109	3.53003	1	1	1	1.25147	0.7825581	0.2174419	0.01	0.007766621	3.53003	0.785825	0.934298	1.048	1.23187
2700	-17393.49	-17389.67	-3.821328	39.50419	0.251557	0.247884	0.257792	0.242768	0.129918	0.101953	0.168401	0.783672	2.4145	0.000850622	0.00140501	0.00653838	0.0201448	0.249903	0.750097	0.1125656	0.001	3.01358	1.02415	0	1.467081	3.462104	1	1	1	1.211346	0.7500971	0.2499029	0.01	0.008343262	3.462104	0.805631	0.941369	1.04419	1.20881
2800	-17390.94	-17388.39	-2.549303	2.881664	0.24706	0.242889	0.261002	0.249048	0.2299883	0.170923	0.255643	0.388738	1.69489	0.00173498	0.00259494	0.00394596	0.0172043	0.0272716	0.972728	0.1269307	0.001	2.99268	1.01834	0	0.8013115	3.955639	1	1	1	1.190113	0.9727284	0.02727165	0.01	0.01015068	3.955639	0.379895	0.724758	1.08187	1.81348
2900	-17393.18	-17391.49	-1.681584	41.1741	0.247634	0.247359	0.256488	0.248519	0.2011449	0.420971	0.626722	0.39836	2.20157	0.0033954	0.00505492	0.00321303	0.0177571	0.239876	0.760124	0.01814454	0.001	2.99852	1.02567	0	0.8527892	3.996365	1	1	1	1.107047	0.7601239	0.2398761	0.01	0.008065644	3.996365	0.809443	0.942705	1.04343	1.20442
3000	-17389.33	-17387.33	-2.005148	6.269823	0.249278	0.246003	0.256689	0.24803	0.05146479	0.0302234	0.12477	0.364727	1.83324	0.000329342	0.0013596	0.0039744	0.0199766	0.155863	0.844137	0.009572684	0.001	3.01883	1.04087	0	0.9034841	3.949718	1	1	1	1.458247	0.8441375	0.1558625	0.01	0.01089689	3.949718	0.547565	0.82918	1.08065	1.54261
3100	-17399.91	-17393.85	-6.063049	48.40866	0.238424	0.250142	0.24936	0.262074	0.3189985	0.26744	0.637076	1.25592	3.94119	0.00123066	0.0029316	0.00577932	0.018136	0.442792	0.557208	0.08325328	0.001	3.03075	0.978993	0	0.8220591	3.572728	1	1	1	1.216181	0.5572078	0.4427922	0.01	0.004601649	3.572728	0.823679	0.947623	1.04059	1.18811
3200	-17393.44	-17388.92	-4.514641	14.90476	0.257852	0.244953	0.247092	0.250104	0.1443237	0.476237	0.623445	2.20059	1.49671	0.00269943	0.00353385	0.0124735	0.00848375	0.655558	0.344442	0.1663576	0.001	3.01242	1.03129	0	0.6267831	3.595339	1	1	1	1.263546	0.3444418	0.6555582	0.01	0.005668258	3.595339	0.692622	0.897882	1.06394	1.34556
3300	-17392.38	-17387.3	-5.085402	31.73722	0.255111	0.247388	0.250337	0.247164	0.03743274	0.902191	2.05866	0.436793	4.40133	0.00417264	0.0095213	0.00202017	0.0203562	0.391677	0.608323	0.03500464	0.001	2.99091	0.98439	0	0.9185244	3.644338	1	1	1	1.377782	0.608323	0.391677	0.01	0.004625005	3.644338	0.784252	0.933726	1.0483	1.23372
3400	-17394.2	-17390.41	-3.796156	18.98199	0.256856	0.244533	0.257128	0.241483	0.03247001	0.348986	0.920803	0.769228	3.45365	0.00187032	0.00493486	0.00412252	0.0185091	0.761368	0.238632	0.06736258	0.001	2.96621	0.969105	0	1.221041	3.483799	1	1	1	1.360347	0.2386315	0.7613685	0.01	0.005359299	3.483799	0.725188	0.91122	1.05877	1.30482
3500	-17390.93	-17390.42	-0.5150835	11.5122	0.249641	0.25036	0.248983	0.251016	0.1089138	0.0953027	0.250503	0.170112	1.98533	0.00131813	0.00346471	0.00235282	0.0274592	0.738875	0.261125	0.03116674	0.001	2.95132	1.03267	0	0.8243251	3.088362	1	1	1	1.200561	0.2611245	0.7388755	0.01	0.01383102	3.088362	0.654138	0.881204	1.06943	1.39522
3600	-17389.5	-17386.69	-2.808728	23.9414	0.252118	0.247862	0.25504	0.244979	0.09741549	0.171993	0.26142	0.740809	1.82935	0.00135937	0.00206617	0.0058551	0.0144585	0.335228	0.664772	0.1448713	0.001	3.00772	0.95548	0	1.142081	3.962844	1	1	1	1.380976	0.6647721	0.3352279	0.01	0.007903652	3.962844	0.75349	0.922266	1.05393	1.27032
3700	-17390.84	-17387.35	-3.487631	22.30725	0.250364	0.249193	0.254152	0.246291	0.08789612	0.383522	0.560905	1.40612	1.91997	0.00239975	0.00350966	0.00879826	0.0120135	0.0214559	0.978544	0.1250446	0.001	3.02359	0.972806	0	0.419191	3.961338	1	1	1	1.203174	0.9785441	0.02145591	0.01	0.006257126	3.961338	0.745165	0.919068	1.05538	1.28038
