Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-18955.03	-18946.44	-8.588363	18.84656	0.0972683	0.333154	0.347833	0.221745	0.004089935	0.172871	2.47804	0.479032	1.00074	0.00172871	0.0247804	0.00479032	0.0100074	0.111858	0.888142	0.09264821	0.001	2.8305	1.02504	0	0.8790675	3	1	1	1	1.171397	0.8881417	0.1118583	0.01	0.01	3	0.72427	0.910853	1.05892	1.30595
100	-17392.33	-17379.44	-12.88673	35.42471	0.249362	0.244134	0.251405	0.2551	0.129413	0.559407	1.1474	2.08949	0.510338	0.00482981	0.00990642	0.0180402	0.00440616	0.230947	0.769053	0.07666794	0.004474553	2.80167	1.03156	0	0.6654148	3.449228	1	1	1	1.12117	0.769053	0.230947	4.31194	0.008633805	3.449228	0.795248	0.93769	1.04621	1.22086
200	-17391.07	-17378.94	-12.13317	32.43193	0.252802	0.238856	0.2539	0.254441	0.02494001	0.278877	0.260162	0.979835	0.90806	0.00343151	0.00320123	0.0120566	0.0111735	0.499171	0.500829	0.008895089	0.0007193886	2.63247	0.751078	0	0.3905398	3.360282	1	1	1	1.258125	0.5008294	0.4991706	12.68777	0.01230475	3.360282	0.786461	0.934528	1.04788	1.23113
300	-17395.24	-17380.12	-15.11653	7.999349	0.241755	0.248112	0.247267	0.262866	0.07564587	0.133413	0.152867	0.727847	0.752342	0.00185159	0.00212158	0.0101015	0.0104415	0.552915	0.447085	0.02088474	0.01360718	2.67044	0.388409	0	1.305023	3.788751	1	1	1	1.229265	0.4470848	0.5529152	24.34963	0.01387863	3.788751	0.593041	0.852504	1.07664	1.47781
400	-17391.9	-17372.68	-19.21948	47.43653	0.246803	0.245515	0.255854	0.251828	0.07499739	0.0181176	0.0861418	0.916648	0.747414	0.000267355	0.00127116	0.0135266	0.0110293	0.886253	0.113747	0.09746136	0.01625448	3.32147	0.684512	0	1.503229	3.594686	1	1	1	1.243958	0.113747	0.886253	63.6917	0.01475663	3.594686	0.821952	0.947033	1.04093	1.19008
500	-17394.27	-17372.85	-21.41853	10.91536	0.251323	0.24529	0.255166	0.248222	0.2456412	0.0376868	0.070931	1.0241	0.305067	0.00055694	0.00104823	0.0151343	0.00450831	0.461666	0.538334	0.1022641	0.0006337402	3.59339	0.902385	0	0.2574863	3.985928	1	1	1	1.504446	0.5383336	0.4616664	84.1479	0.01477812	3.985928	0.645711	0.877413	1.07054	1.40633
600	-17387.93	-17372.94	-14.98441	49.81365	0.253283	0.241712	0.250958	0.254047	0.07684151	0.0608392	0.0777824	1.36895	0.201418	0.000753167	0.000962918	0.0169471	0.00249348	0.234693	0.765307	0.0123789	0.007130622	2.87881	0.806328	0	0.316382	3.939568	1	1	1	1.347168	0.7653073	0.2346927	96.64056	0.01237964	3.939568	0.826088	0.948444	1.0401	1.18537
700	-17395.81	-17377.66	-18.15138	47.85467	0.242925	0.249753	0.249315	0.258006	0.13992	0.279137	0.152223	1.4263	1.51757	0.00241569	0.00131736	0.0123434	0.0131332	0.131002	0.868998	0.05241318	0.002995222	2.70308	0.380172	0	1.769201	3.204633	1	1	1	1.399214	0.8689981	0.1310019	15.06245	0.008654115	3.204633	0.822701	0.947289	1.04078	1.18923
800	-17386.17	-17372.54	-13.63483	6.068809	0.255463	0.246946	0.24889	0.248702	0.1042694	0.0774969	0.129634	2.03967	0.259286	0.000767785	0.00128432	0.0202076	0.00256882	0.307937	0.692063	0.002472092	0.01173067	2.77843	0.541377	0	0.9733333	3.408681	1	1	1	1.241365	0.6920632	0.3079368	24.11947	0.009907295	3.408681	0.541205	0.825772	1.0811	1.55192
900	-17388.05	-17371.35	-16.70774	44.22843	0.252845	0.246419	0.248242	0.252494	0.06814007	0.0481809	0.123752	1.8424	1.84201	0.00033997	0.000873211	0.0130002	0.0129974	0.365827	0.634173	0.1149026	0.01875499	2.8268	0.975776	0	0.562849	3.819919	1	1	1	1.214693	0.6341735	0.3658265	33.60473	0.007056122	3.819919	0.815866	0.944938	1.04216	1.19704
1000	-17390.96	-17376.94	-14.02519	17.36691	0.249265	0.246496	0.255344	0.248895	0.07173842	0.0495506	0.090605	1.00996	1.06267	0.000624644	0.00114218	0.0127317	0.0133962	0.271019	0.728981	0.1125785	0.01342018	2.86267	0.609603	0	0.8785543	3.608074	1	1	1	1.367969	0.7289806	0.2710194	4.723031	0.01260618	3.608074	0.713588	0.906548	1.06067	1.3192
1100	-17390.98	-17376.64	-14.34082	18.1258	0.244567	0.24571	0.254274	0.255449	0.08369369	0.0670505	0.090801	1.24727	0.66573	0.000949727	0.00128614	0.0176668	0.00942963	0.427699	0.572301	0.0289025	0.005843982	3.00942	1.21895	0	1.3116	3.383822	1	1	1	1.187382	0.572301	0.427699	35.11228	0.01416435	3.383822	0.719221	0.908827	1.05975	1.3122
