Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
1500	-17382.71	-17374.8	-7.913599	44.12477	0.251839	0.252885	0.247187	0.24809	0.0375282	0.0584345	0.189211	1.86605	0.357519	0.00056115	0.00181701	0.0179198	0.00343328	0.667459	0.332541	0.009473463	1.77464	2.96813	0	1.704798	3.428537	1	1	1	1.242493	0.3325406	0.6674594	0.009603064	3.428537	0.815659	0.944866	1.0422	1.19728
1600	-17387.65	-17375.68	-11.97333	18.82745	0.25421	0.241783	0.254703	0.249305	0.008084937	0.292928	0.396065	1.74051	0.0649444	0.003578	0.00483779	0.0212596	0.000793271	0.717832	0.282168	0.217887	3.26572	3.08824	0	0.3236842	3.328596	1	1	1	1.269546	0.2821684	0.7178316	0.01221463	3.328596	0.724139	0.910801	1.05895	1.30611
1700	-17385.52	-17377.16	-8.35924	44.91414	0.246499	0.249748	0.253276	0.250476	0.04091009	0.07544	0.83284	1.34666	0.230399	0.00101678	0.011225	0.0181502	0.0031053	0.0571664	0.942834	0.04954071	1.12219	2.98307	0	0.3082516	3.637451	1	1	1	1.287693	0.9428336	0.05716638	0.01347792	3.637451	0.81722	0.945406	1.04189	1.19549
1800	-17380.06	-17373.48	-6.579774	10.09634	0.248704	0.252469	0.247162	0.251665	0.05302553	0.331413	0.657297	1.98874	0.187988	0.00310939	0.00616691	0.0186588	0.00176375	0.00585072	0.994149	0.01830147	1.38416	2.94435	0	1.074607	3.581992	1	1	1	1.325013	0.9941493	0.005850716	0.009382225	3.581992	0.633054	0.87162	1.07214	1.42318
1900	-17386.37	-17378.92	-7.445485	43.11522	0.239721	0.247753	0.25077	0.261755	0.06478432	0.199657	0.544988	1.34501	1.29252	0.00157677	0.00430399	0.0106221	0.0102076	0.659935	0.340065	0.07917227	2.74578	1.84727	0	0.6850429	3.617374	1	1	1	1.285277	0.3400647	0.6599353	0.007897402	3.617374	0.813602	0.944153	1.04261	1.19963
2000	-17380.06	-17373.26	-6.797527	24.05559	0.251383	0.249241	0.246049	0.253327	0.1595106	0.0694262	0.156443	1.2223	0.323436	0.000872326	0.00196568	0.015358	0.0040639	0.389951	0.610049	0.03467117	1.28497	2.96779	0	0.6376116	3.983963	1	1	1	1.274642	0.6100487	0.3899513	0.01256479	3.983963	0.754041	0.922477	1.05383	1.26965
2100	-17383.25	-17373.7	-9.554548	35.03115	0.251188	0.246559	0.254944	0.247309	0.06205639	0.470326	1.17424	1.37401	0.639356	0.00530891	0.0132545	0.0155095	0.00721687	0.0764024	0.923598	0.1433187	1.33618	3.44668	0	1.154588	3.289917	1	0	1	1.296076	0.9235976	0.07640238	0.01128772	3.289917	0.794155	0.937299	1.04642	1.22213
2200	-17388.46	-17376.51	-11.94356	23.81685	0.255463	0.243494	0.250684	0.250359	0.05238463	0.0630791	0.159301	1.38927	0.845794	0.000783802	0.00197943	0.0172627	0.0105096	0.828884	0.171116	7.317297e-05	2.77962	2.57323	0	3.654512	3.267161	1	1	1	1.190396	0.1711157	0.8288843	0.01242571	3.267161	0.752884	0.922035	1.05403	1.27105
2300	-17382.59	-17374.87	-7.719263	42.53331	0.24921	0.253043	0.248313	0.249433	0.01031702	0.413287	1.00675	1.36816	0.496379	0.00458242	0.0111626	0.0151698	0.00550372	0.756984	0.243016	0.003280109	2.81076	2.90481	0	0.402439	3.709191	1	1	1	1.259618	0.2430159	0.7569841	0.01108772	3.709191	0.812384	0.94373	1.04285	1.20103
2400	-17381.21	-17374.41	-6.795386	39.94556	0.248379	0.246169	0.250941	0.254511	0.04809534	0.198757	0.601649	1.54861	1.27102	0.00144832	0.00438413	0.0112845	0.00926173	0.396255	0.603745	0.0001133261	0.679351	3.27914	0	0.5215202	3.762064	1	1	1	1.445787	0.6037454	0.3962546	0.007286863	3.762064	0.806661	0.941731	1.04398	1.20762
2500	-17383.04	-17375.76	-7.274167	3.93435	0.254288	0.246029	0.251243	0.24844	0.08348281	0.112206	0.309039	1.45368	0.30941	0.00140695	0.00387502	0.0182275	0.00387967	0.729965	0.270035	0.1053802	2.1962	1.64948	0	0.4129231	3.319659	1	1	1	1.204978	0.2700347	0.7299653	0.01253894	3.319659	0.450719	0.772908	1.08441	1.69197
2600	-17385.53	-17378.64	-6.891389	30.5502	0.257864	0.245016	0.245076	0.252044	0.1614276	0.22265	0.149866	1.38975	0.565881	0.00242791	0.00163423	0.0151546	0.0061707	0.784257	0.215743	0.05770633	0.717181	1.78557	0	0.5666538	3.692117	1	1	1	1.28223	0.2157432	0.7842568	0.01090458	3.692117	0.780311	0.932289	1.04904	1.23836
2700	-17383.02	-17375.95	-7.075875	4.247329	0.256823	0.248777	0.246625	0.247775	0.05263474	0.0830857	0.0891011	1.9825	0.534326	0.000727792	0.000780484	0.0173657	0.00468045	0.408023	0.591977	0.03113539	0.665976	1.24255	0	0.5581295	3.837749	1	1	1	1.274518	0.591977	0.408023	0.008759531	3.837749	0.467454	0.78335	1.08429	1.66491
2800	-17386.39	-17374.25	-12.14067	2.675404	0.250812	0.24529	0.251164	0.252733	0.4157561	0.233909	0.493866	2.52264	0.408072	0.00194815	0.00411324	0.0210102	0.0033987	0.865063	0.134937	0.1411643	2.68907	1.23359	0	1.097505	3.212459	1	1	1	1.321247	0.1349371	0.8650629	0.008328663	3.212459	0.36248	0.711809	1.08037	1.84535
2900	-17382.3	-17375.37	-6.933128	24.77933	0.251993	0.25238	0.246424	0.249203	0.04347535	0.156879	0.595185	2.70831	0.293487	0.00116433	0.00441739	0.0201007	0.00217822	0.0245152	0.975485	0.007852246	0.877243	2.15409	0	0.4031142	3.384321	1	1	1	1.26531	0.9754848	0.0245152	0.007421867	3.384321	0.75745	0.923773	1.05322	1.26556
3000	-17387.01	-17375.22	-11.79576	40.71366	0.251851	0.248693	0.251867	0.247589	0.3055689	0.27533	0.706037	4.29899	0.881711	0.00131185	0.00336402	0.0204832	0.00420105	0.292711	0.707289	0.02692836	3.26751	1.09373	0	1.302731	3.151878	0	1	1	1.408177	0.7072892	0.2927108	0.004764649	3.151878	0.808415	0.942346	1.04364	1.2056
3100	-17391.27	-17373.2	-18.06671	6.274404	0.24846	0.250125	0.25526	0.246155	0.02444457	0.2317	0.338903	7.68089	4.62567	0.00048588	0.000710689	0.016107	0.00970016	0.837003	0.162997	0.1139676	0.895793	0.821858	0	2.478233	3.634677	1	1	1	1.394897	0.1629971	0.8370029	0.002097027	3.634677	0.547707	0.829255	1.08064	1.5424
3200	-17387.72	-17374.28	-13.43766	40.53064	0.252597	0.249915	0.248139	0.249349	0.06668282	0.123986	0.182079	1.56592	3.47049	0.000737762	0.00108344	0.00931781	0.0206507	0.947948	0.0520522	0.2825039	2.06266	3.0966	0	1.075697	3.306782	1	1	1	1.419671	0.05205221	0.9479478	0.005950372	3.306782	0.808001	0.942201	1.04372	1.20608
