Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-27693.22	-27689.88	-3.341632	4.405597	0.0340881	0.670759	0.0171131	0.27804	0.01885331	0.12396	0.713417	0.217663	0.345345	0.0012396	0.00713417	0.00217663	0.00345345	0.837147	0.162853	0.01716419	0.001	2.93707	0.853819	0	0.4748715	3	1	1	1	1.288989	0.1628528	0.8371472	0.01	0.01	3	0.475345	0.788162	1.08415	1.65234
100	-17392.07	-17379.53	-12.54218	46.83362	0.252965	0.237931	0.254055	0.255049	0.08239459	0.727192	0.17038	0.280019	1.35996	0.00809105	0.00189572	0.00311561	0.0151315	0.883191	0.116809	0.128699	0.005583612	2.97004	0.531324	0	1.021929	3.437669	1	1	1	1.15303	0.1168091	0.8831909	6.062919	0.01112642	3.437669	0.820855	0.946656	1.04116	1.19133
200	-17388.25	-17375.21	-13.04352	13.56874	0.250529	0.255208	0.252037	0.242226	0.04143112	1.00442	0.140928	0.178608	0.828029	0.0121418	0.00170359	0.00215907	0.0100095	0.613979	0.386021	0.04821319	0.003876304	2.51495	0.522387	0	0.6208589	3.828444	1	1	1	1.338398	0.3860213	0.6139787	41.62489	0.01208834	3.828444	0.679082	0.892131	1.06595	1.36284
300	-17388.36	-17376.08	-12.27191	42.4859	0.251703	0.252767	0.246598	0.248932	0.03344926	1.34541	0.063038	0.174118	0.244535	0.0179696	0.000841951	0.00232556	0.00326606	0.65201	0.34799	0.05129138	0.007236022	2.77531	0.765717	0	0.6799653	3.902042	1	1	1	1.204565	0.3479898	0.6520102	12.79918	0.01335623	3.902042	0.812284	0.943696	1.04287	1.20115
400	-17387.6	-17375.82	-11.77464	44.05143	0.251413	0.25246	0.244314	0.251813	0.04101821	1.37702	0.0902702	0.132954	0.187252	0.0175396	0.00114981	0.00169349	0.0023851	0.224623	0.775377	0.003106883	0.006928604	3.21347	0.804666	0	0.4646733	3.535572	1	1	1	1.264368	0.7753772	0.2246228	18.29632	0.01273742	3.535572	0.815511	0.944815	1.04223	1.19744
500	-17390.18	-17377.27	-12.91273	11.62106	0.247634	0.252172	0.253251	0.246944	0.1116193	1.55696	0.159768	0.537757	0.694905	0.0147997	0.00151868	0.00511167	0.00660544	0.199675	0.800325	0.08390443	0.004242302	3.11218	0.650779	0	1.104658	3.595936	1	1	1	1.362621	0.8003254	0.1996746	6.448328	0.009505532	3.595936	0.65561	0.881861	1.06924	1.39329
600	-17391.59	-17378.08	-13.50217	38.9968	0.251442	0.244392	0.255068	0.249098	0.0727956	1.70627	1.02503	1.60875	0.234582	0.0163531	0.009824	0.0154184	0.00224827	0.176151	0.823849	0.1033762	0.01223276	2.74014	0.554636	0	1.046492	3.969631	1	1	1	1.352092	0.8238491	0.1761509	1.195292	0.009584141	3.969631	0.804426	0.940945	1.04442	1.21021
700	-17388.13	-17377.02	-11.108	34.28001	0.252227	0.24711	0.2516	0.249062	0.01871094	1.20853	0.108778	0.204773	0.157256	0.0182876	0.00164604	0.00309865	0.00237961	0.0533131	0.946687	0.05743892	0.01240098	2.58665	0.598841	0	0.9479244	3.739159	1	1	1	1.119915	0.9466869	0.05331308	4.293825	0.0151321	3.739159	0.792018	0.936533	1.04683	1.22462
800	-17388.5	-17373.14	-15.35478	48.49626	0.249258	0.244919	0.251517	0.254307	0.2924382	2.55117	0.0711606	0.172929	0.234272	0.0178304	0.000497348	0.00120861	0.00163735	0.175753	0.824247	0.01799526	0.00813678	3.05915	1.00504	0	1.121211	3.862191	1	1	1	1.13485	0.824247	0.175753	13.38368	0.006989086	3.862191	0.823832	0.947676	1.04055	1.18794
900	-17390.24	-17374.09	-16.14875	22.01221	0.256096	0.239019	0.249609	0.255276	0.1548292	2.6412	0.127853	0.219656	0.237025	0.0192953	0.000934031	0.0016047	0.00173158	0.146754	0.853246	0.2150445	0.00281275	3.17292	0.542957	0	0.8349495	3.726831	1	1	1	1.21696	0.8532457	0.1467543	22.46741	0.007305489	3.726831	0.743568	0.91845	1.05566	1.28232
