Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-28207.46	-28206.32	-1.133587	24.11818	0.789325	0.0109157	0.092038	0.107721	0.0190378	0.726258	0.0568558	0.184764	0.183869	0.00726258	0.000568558	0.00184764	0.00183869	0.146071	0.853929	0.04629799	0.001	2.96036	2.04951	0	0.6311843	3	1	1	1	0.378658	0.8539288	0.1460712	0.01	0.01	3	0.754342	0.922591	1.05377	1.26929
100	-17388.6	-17381.23	-7.371634	45.01893	0.25888	0.245132	0.248085	0.247903	0.1379465	0.190833	0.28878	0.911152	0.846787	0.0022888	0.00346356	0.0109281	0.0101562	0.543681	0.456319	0.01281277	0.002995953	3.00631	1.96373	0	0.4195007	3.726553	1	1	1	1.054789	0.4563189	0.5436811	2.66723	0.01199377	3.726553	0.817424	0.945476	1.04185	1.19525
200	-17391.73	-17382.44	-9.291795	43.14447	0.262696	0.247351	0.243059	0.246894	0.2465801	0.837206	1.52549	1.13807	0.629074	0.00903545	0.0164637	0.0122825	0.00678921	0.408504	0.591496	0.002729846	0.001177921	3.09886	2.03788	0	0.9108889	3.976469	1	1	1	1.197722	0.5914963	0.4085037	0.2765867	0.01079238	3.976469	0.813662	0.944174	1.0426	1.19957
300	-17390.16	-17380.71	-9.455968	25.60229	0.24815	0.250161	0.254875	0.246813	0.1530692	0.109754	0.326282	0.384321	0.90285	0.00222071	0.00660182	0.00777615	0.0182678	0.0453691	0.954631	0.07603939	0.0128286	2.83553	1.87768	0	0.7484727	3.114656	1	1	1	1.316424	0.9546309	0.04536909	1.385081	0.02023346	3.114656	0.761157	0.925175	1.05256	1.26111
400	-17393.62	-17380.48	-13.14362	19.9236	0.253605	0.251284	0.251233	0.243879	0.2197799	0.0531577	0.148546	0.189921	1.31504	0.000905062	0.00252914	0.0032336	0.0223898	0.309046	0.690954	0.04298077	0.002850872	2.98492	1.74862	0	0.2474794	3.558301	1	1	1	1.1079	0.6909539	0.3090461	0.5067989	0.017026	3.558301	0.731323	0.913657	1.05775	1.29727
500	-17386.1	-17378.45	-7.647868	40.68714	0.248927	0.249652	0.249134	0.252287	0.09613351	0.116681	0.204264	1.0081	0.734187	0.00143085	0.00250488	0.0123624	0.0090033	0.323787	0.676213	0.07799238	0.003508676	2.96585	1.86074	0	1.37653	3.668467	1	1	1	1.275094	0.676213	0.323787	0.287644	0.01226296	3.668467	0.808355	0.942325	1.04365	1.20567
600	-17386.42	-17377.47	-8.943027	32.162	0.253498	0.248953	0.246614	0.250935	0.09036101	0.0981828	0.156032	1.5067	1.12413	0.000825404	0.00131173	0.0126666	0.00945031	0.533445	0.466555	0.04274663	0.0005463448	2.90461	2.00551	0	0.5289089	3.859855	1	1	1	1.130159	0.466555	0.533445	2.641726	0.008406809	3.859855	0.785611	0.93422	1.04804	1.23212
700	-17388.6	-17374.04	-14.562	17.91322	0.253883	0.248584	0.251178	0.246355	0.06355638	0.0487826	0.0984374	2.23733	0.33193	0.000368811	0.000744216	0.0169149	0.00250949	0.0669278	0.933072	0.06575204	0.02122794	2.90816	1.94628	0	1.735063	3.912853	1	1	1	1.443899	0.9330722	0.06692779	34.98779	0.007560301	3.912853	0.717677	0.908205	1.06	1.31411
800	-17388.88	-17374.03	-14.844	36.95226	0.254703	0.244477	0.251591	0.249228	0.08238612	0.124505	0.142612	4.56534	1.27186	0.0005056	0.000579131	0.0185392	0.00516485	0.33437	0.66563	0.001497818	0.0007004672	2.88834	2.09601	0	1.865788	3.557213	1	1	1	1.165434	0.6656303	0.3343697	18.85303	0.004060873	3.557213	0.79933	0.939144	1.04542	1.21611
900	-17388.95	-17371.68	-17.26872	43.60706	0.253315	0.247955	0.251182	0.247548	0.02710224	0.147392	0.316756	8.51119	0.0834962	0.000336106	0.000722316	0.0194086	0.000190401	0.518574	0.481426	0.06169644	0.02110296	2.83293	2.12129	0	0.8055817	3.957608	1	1	1	1.290658	0.4814256	0.5185744	92.73093	0.002280357	3.957608	0.814612	0.944504	1.04241	1.19848
