Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-19393.44	-19383.91	-9.527542	15.34959	0.108036	0.447438	0.265652	0.178875	0.01481596	1.06996	2.68244	0.501036	3.8642	0.0106996	0.0268244	0.00501036	0.038642	0.276003	0.723997	0.005768822	0.001	2.98362	0.983789	0	1.76104	3	1	1	1	0.1961619	0.723997	0.276003	0.01	0.01	3	0.696757	0.899614	1.06331	1.34032
100	-17390.89	-17378.35	-12.53157	33.2012	0.255143	0.247134	0.246393	0.251329	0.1938463	0.266986	0.495705	0.226887	6.26168	0.00108076	0.00200661	0.000918436	0.0253472	0.31119	0.68881	0.1748944	0.01269634	3.03972	1.02894	0	0.5572745	3.465309	1	1	1	1.203111	0.6888097	0.3111903	1.635655	0.00404799	3.465309	0.788828	0.935384	1.04743	1.22835
200	-17391.32	-17374.67	-16.64309	35.64977	0.250721	0.251544	0.249007	0.248728	0.1527525	0.055241	0.176936	0.127301	2.97798	0.000557066	0.00178427	0.00128374	0.0300308	0.645734	0.354266	0.1811361	0.004957739	2.95917	1.09804	0	0.2293572	3.378993	1	1	1	1.137839	0.3542663	0.6457337	12.70571	0.01008429	3.378993	0.795865	0.93791	1.04609	1.22014
300	-17389.12	-17375.82	-13.29834	30.20726	0.251024	0.24439	0.259653	0.244932	0.2136676	0.0911543	0.196531	1.26149	1.08281	0.000875327	0.00188723	0.0121137	0.0103979	0.718816	0.281184	0.04276483	0.004512279	2.89461	0.884565	0	1.428519	3.780936	1	1	1	1.46472	0.2811838	0.7188162	9.68267	0.009602701	3.780936	0.779131	0.931857	1.04926	1.23975
400	-17391.93	-17373.91	-18.02484	6.715618	0.250146	0.254288	0.250039	0.245528	0.243124	0.0474103	0.223967	3.0599	2.01188	0.000211673	0.000999949	0.0136616	0.00898247	0.54233	0.45767	0.003091479	0.006908624	2.88652	0.951701	0	1.829258	3.738525	1	1	1	1.284166	0.4576697	0.5423303	41.21562	0.004464715	3.738525	0.560759	0.836132	1.07962	1.52349
500	-17385.01	-17371.62	-13.38561	45.77382	0.247803	0.247173	0.25575	0.249274	0.06942501	0.0922089	0.153441	2.58562	0.847145	0.000565834	0.000941581	0.0158665	0.00519845	0.522461	0.477539	0.06953039	0.007896311	3.07393	0.910526	0	1.561602	3.745191	1	1	1	1.258283	0.477539	0.522461	20.66694	0.006136433	3.745191	0.818875	0.945976	1.04155	1.19359
600	-17388.67	-17375.01	-13.66142	44.28992	0.250901	0.248485	0.245377	0.255237	0.02028447	0.0610338	0.266511	3.21175	0.313049	0.000364854	0.00159318	0.0191995	0.00187138	0.54035	0.45965	0.06537257	0.01414375	3.12074	0.871921	0	0.6001244	3.867276	1	1	1	1.196796	0.4596503	0.5403497	29.76693	0.005977902	3.867276	0.815989	0.94498	1.04213	1.1969
700	-17388.11	-17373.85	-14.25505	35.89554	0.252635	0.24311	0.254172	0.250083	0.09436839	0.242548	0.239538	1.89775	4.56968	0.00107579	0.00106245	0.00841728	0.0202683	0.507747	0.492253	0.02310407	0.01334642	2.92911	1.02676	0	0.7815523	3.330291	1	1	1	1.287884	0.4922535	0.5077465	59.45414	0.004435389	3.330291	0.796533	0.938149	1.04596	1.21936
800	-17385.97	-17373.03	-12.94295	36.77541	0.248551	0.246495	0.248848	0.256106	0.0436107	0.105405	0.132631	2.81844	1.31702	0.000603845	0.000759814	0.0161463	0.00754495	0.250356	0.749644	0.007019498	0.01950743	2.99151	0.937774	0	1.04098	3.568577	1	1	1	1.148569	0.7496444	0.2503556	92.30111	0.005728789	3.568577	0.79887	0.93898	1.04551	1.21664
900	-17386.55	-17371.97	-14.58037	18.61172	0.245345	0.250668	0.252909	0.251077	0.1843818	0.0764268	0.148215	3.04242	0.684457	0.000456656	0.000885598	0.0181787	0.00408968	0.0256146	0.974385	0.03809897	0.006854799	2.89359	0.948688	0	1.100442	3.458801	1	1	1	1.282291	0.9743854	0.02561461	73.17048	0.005975073	3.458801	0.722655	0.910207	1.05919	1.30795
1000	-17389.1	-17377.14	-11.96291	7.517102	0.25269	0.249058	0.246219	0.252033	0.06735623	0.163531	0.298907	1.94085	1.74066	0.00114879	0.0020998	0.0136343	0.012228	0.362018	0.637982	0.06218643	0.005594141	3.16431	0.998807	0	0.9044605	3.395579	1	1	1	1.403341	0.6379824	0.3620176	6.196823	0.007024927	3.395579	0.581784	0.846895	1.07775	1.49357
1100	-17386.95	-17373.04	-13.91492	21.25034	0.242785	0.25098	0.250919	0.255316	0.1008301	0.184421	0.252109	3.50902	0.489465	0.00092539	0.00126504	0.0176076	0.00245605	0.615607	0.384393	0.005595643	0.01317514	3.03559	0.854894	0	0.2870488	3.785061	1	1	1	1.359225	0.3843926	0.6156074	62.05375	0.005017816	3.785061	0.739301	0.91679	1.0564	1.28751
1200	-17392.03	-17377.59	-14.43977	15.60184	0.254787	0.251658	0.240132	0.253423	0.1102218	0.0465505	0.150857	3.14114	0.406109	0.000248786	0.000806245	0.0167876	0.00217042	0.419072	0.580928	0.06748322	0.0071155	3.04571	0.88911	0	1.905938	3.765636	1	1	1	1.241026	0.5809279	0.4190721	12.64726	0.005344443	3.765636	0.699028	0.900561	1.06296	1.33745
1300	-17385.68	-17372.01	-13.67497	39.03021	0.251657	0.245142	0.253845	0.249355	0.1025996	0.216121	0.402854	5.60242	0.227034	0.00081513	0.00151942	0.0211303	0.00085629	0.132499	0.867501	0.0124422	0.01973161	3.04516	0.883886	0	1.039301	3.550524	1	1	1	1.245866	0.8675007	0.1324993	94.31077	0.003771642	3.550524	0.804506	0.940974	1.04441	1.21011
