Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
1400	-17393.34	-17377.22	-16.11585	10.41329	0.257184	0.242334	0.243475	0.257008	0.05741014	0.0519066	0.19112	2.40618	0.882752	0.000363047	0.00133674	0.0168294	0.00617417	0.040416	0.959584	0.05648789	0.01419433	3.10422	0.514235	0	1.619561	3.806505	1	1	1	1.148578	0.959584	0.04041596	25.22223	0.006994232	3.806505	0.638114	0.873951	1.07151	1.41642
1500	-17390.5	-17372.92	-17.58006	18.40485	0.245004	0.243898	0.254861	0.256236	0.09604526	0.274761	0.340162	3.90987	2.47908	0.000913986	0.00113154	0.0130061	0.00824661	0.279227	0.720773	0.07291924	0.01328723	2.72439	0.573612	0	1.057308	3.902699	1	1	1	1.281658	0.7207735	0.2792265	40.51696	0.003326482	3.902699	0.721209	0.909627	1.05943	1.30974
1600	-17394.43	-17375.42	-19.01448	31.88878	0.244206	0.251073	0.252137	0.252584	0.06337817	0.201363	0.54456	4.47802	2.7283	0.000629471	0.00170233	0.0139986	0.00852884	0.247099	0.752901	0.0772051	0.04444011	2.55135	0.631305	0	1.047167	3.608671	1	1	1	1.175014	0.7529013	0.2470987	96.03908	0.003126061	3.608671	0.78474	0.933904	1.04821	1.23315
1700	-17392.49	-17376.61	-15.874	6.487593	0.250453	0.255713	0.240181	0.253654	0.04996284	0.244901	0.195641	3.93009	0.590435	0.00112644	0.000899859	0.0180767	0.00271573	0.0456818	0.954318	0.0930077	0.0001010975	3.36993	0.602065	0	0.7315295	3.679779	1	1	1	1.265312	0.9543182	0.04568182	81.16573	0.00459955	3.679779	0.55416	0.832674	1.08015	1.53302
1800	-17393.77	-17372.46	-21.31276	37.73153	0.254418	0.244932	0.248822	0.251829	0.3675447	0.202774	0.224661	3.83521	1.53368	0.000845616	0.00093689	0.0159938	0.00639583	0.13697	0.86303	0.002624959	0.02819938	3.016	0.710756	0	1.87157	3.606798	1	1	1	1.319963	0.8630296	0.1369704	72.9343	0.004170244	3.606798	0.801319	0.939849	1.04503	1.2138
1900	-17391.14	-17372.89	-18.25189	24.77061	0.24805	0.250621	0.252434	0.248894	0.05314728	0.0993137	0.129539	4.31191	1.377	0.000399244	0.000520749	0.017334	0.00553559	0.155669	0.844331	0.1017732	0.01608246	2.56241	1.20061	0	0.9519296	3.963476	1	1	1	1.240495	0.8443308	0.1556692	76.02656	0.004020028	3.963476	0.75741	0.923758	1.05323	1.2656
2000	-17396.51	-17380.46	-16.0466	26.24064	0.24994	0.246484	0.25728	0.246296	0.06911591	0.112579	0.144385	6.39813	0.144376	0.000345723	0.000443395	0.0196482	0.000443368	0.268745	0.731255	0.06742504	0.05882917	2.55016	1.30887	0	0.5134236	3.505887	1	1	1	1.415276	0.731255	0.268745	32.55522	0.00307092	3.505887	0.763916	0.926213	1.05206	1.25781
2100	-17393.39	-17373.03	-20.35944	29.90859	0.254348	0.242853	0.252196	0.250603	0.239443	0.0699166	0.440061	7.71225	1.77035	0.000198258	0.00124786	0.0218691	0.00502008	0.153133	0.846867	0.08099746	0.004364305	2.72869	0.794952	0	0.9193954	3.01444	1	1	1	1.295635	0.846867	0.153133	24.75218	0.002835638	3.01444	0.778088	0.931475	1.04946	1.24098
2200	-17394.03	-17375.38	-18.65102	10.45749	0.256909	0.241509	0.246945	0.254637	0.09267805	0.45375	0.657901	7.59979	0.797114	0.00106942	0.00155057	0.0179115	0.00187867	0.0912519	0.908748	0.07641187	0.0006271887	2.51641	0.81364	0	2.01559	3.909053	1	1	1	1.164684	0.9087481	0.09125189	12.75618	0.002356837	3.909053	0.638803	0.874266	1.07143	1.41551
2300	-17392.97	-17375.57	-17.39659	4.353349	0.25014	0.250328	0.253287	0.246245	0.06717423	0.237649	0.252786	8.27551	1.28891	0.000563902	0.000599818	0.0196364	0.00305837	0.0616105	0.938389	0.003723027	0.02702387	2.75801	1.16473	0	0.4252448	3.876477	1	1	1	1.244657	0.9383895	0.06161052	61.12004	0.00237283	3.876477	0.472779	0.786605	1.0842	1.65642
2400	-17396.49	-17374.71	-21.78327	18.97463	0.253977	0.24896	0.248571	0.248492	0.05849904	0.226221	0.822638	4.68325	4.64916	0.000533745	0.00194093	0.0110496	0.0109692	0.178463	0.821537	0.0126314	0.003707647	3.30325	0.863346	0	2.418159	3.971249	1	1	1	1.234541	0.8215375	0.1784625	40.05608	0.002359399	3.971249	0.725138	0.9112	1.05878	1.30488
2500	-17394.84	-17379.11	-15.72219	46.3019	0.246238	0.252702	0.246886	0.254173	0.05023426	0.082469	0.0917041	4.44872	0.768735	0.000374721	0.000416683	0.020214	0.00349296	0.611088	0.388912	0.04845812	0.04036787	2.68609	0.623114	0	0.8424604	3.648654	1	1	1	1.553775	0.3889125	0.6110875	18.72175	0.00454378	3.648654	0.81987	0.946318	1.04135	1.19246
2600	-17391.23	-17375.08	-16.14571	16.89668	0.239899	0.256438	0.254523	0.24914	0.1070441	0.124354	0.21351	3.77799	1.23971	0.000529646	0.000909377	0.0160912	0.00528017	0.434377	0.565623	0.03519434	0.008455629	3.19566	1.05359	0	0.954682	3.967262	1	1	1	1.286455	0.5656226	0.4343774	59.69857	0.004259184	3.967262	0.70992	0.905053	1.06125	1.32378
2700	-17389.31	-17372.96	-16.34513	10.23093	0.255139	0.243796	0.254696	0.24637	0.0345221	0.133926	0.249505	5.1779	0.601539	0.000516808	0.000962819	0.0199811	0.00232129	0.156598	0.843402	0.04130843	0.0220842	2.80221	0.50171	0	1.26571	3.540681	1	1	1	1.194283	0.8434017	0.1565983	65.45098	0.003858916	3.540681	0.635229	0.872624	1.07187	1.42027
2800	-17391.52	-17371.73	-19.793	33.34804	0.247817	0.247233	0.252644	0.252306	0.1498336	0.127201	0.186141	6.64995	2.22821	0.000396927	0.000580848	0.020751	0.00695306	0.695214	0.304786	0.009717197	0.007924437	2.76365	0.549462	0	1.400719	3.42642	1	1	1	1.259113	0.3047865	0.6952135	72.54341	0.003120471	3.42642	0.789271	0.935544	1.04735	1.22783
2900	-17389.52	-17373.7	-15.81922	0.3570261	0.250099	0.251394	0.248302	0.250205	0.04569443	0.126069	0.325783	5.5184	0.751794	0.000506938	0.00131001	0.0221901	0.00302305	0.286337	0.713663	0.008338041	0.006590077	2.71137	0.686971	0	1.033364	3.406302	1	1	1	1.173284	0.7136631	0.2863369	68.02833	0.004021114	3.406302	0.0110339	0.149009	0.680253	3.1597
3000	-17390.5	-17374.4	-16.1034	9.362863	0.247832	0.250174	0.253526	0.248468	0.01382501	0.101057	0.21211	7.20332	0.632221	0.00028689	0.000602158	0.0204494	0.00179481	0.604958	0.395042	0.005874878	0.01271119	3.41137	0.709747	0	0.7457919	3.583673	1	1	1	1.57586	0.395042	0.604958	26.03133	0.002838893	3.583673	0.620459	0.865737	1.07365	1.44015
