Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
1400	-17394.91	-17374.31	-20.60009	17.37308	0.250163	0.247083	0.254245	0.248509	0.114209	0.0503545	0.143295	0.198158	3.81086	0.000444799	0.00126578	0.0017504	0.0336626	0.865754	0.134246	0.1985774	0.009839265	2.75169	1.8768	0	0.4711285	3.949484	1	1	1	1.364706	0.1342458	0.8657542	54.95764	0.008833348	3.949484	0.713636	0.906567	1.06066	1.31914
1500	-17387.93	-17373.87	-14.06328	6.947461	0.244845	0.252806	0.254632	0.247717	0.0523254	0.0485834	0.0833198	0.812728	5.25554	0.000299674	0.000513937	0.00501311	0.0324175	0.891854	0.108146	0.02187033	0.01474417	2.98715	2.01224	0	0.3898345	3.946642	1	1	1	1.337297	0.1081462	0.8918538	12.91971	0.00616825	3.946642	0.567171	0.839455	1.07908	1.5143
1600	-17392.24	-17377.59	-14.6472	48.36517	0.255573	0.248772	0.246128	0.249527	0.02079369	0.0548363	0.0917955	0.282478	5.30102	0.000469379	0.000785737	0.00241791	0.0453749	0.78145	0.21855	0.02953966	0.003941675	3.00442	1.94525	0	0.4572082	3.436147	1	1	1	1.225584	0.2185497	0.7814503	45.10009	0.008559647	3.436147	0.823603	0.947597	1.0406	1.1882
1700	-17391.03	-17381.1	-9.928086	36.42901	0.255747	0.248113	0.246019	0.250122	0.03055883	0.141899	0.160834	1.04908	4.20741	0.000837364	0.000949097	0.00619074	0.0248284	0.367464	0.632536	0.0009573747	0.005903612	2.99024	1.97109	0	0.6688018	3.824521	1	1	1	1.577113	0.6325359	0.3674641	2.450509	0.00590111	3.824521	0.79796	0.938657	1.04568	1.2177
1800	-17390.18	-17375.85	-14.32642	37.50091	0.250716	0.248625	0.25226	0.248399	0.0884016	0.0964512	0.126871	1.00556	4.85933	0.000498511	0.000655735	0.00519729	0.0251156	0.846209	0.153791	0.02437135	0.008325891	3.05619	1.84212	0	0.2721454	3.757648	1	1	1	1.292157	0.1537908	0.8462092	4.836697	0.00516853	3.757648	0.800737	0.939643	1.04514	1.21448
1900	-17387.45	-17374.02	-13.43497	11.26833	0.252594	0.249878	0.248074	0.249454	0.007507655	0.0959614	0.135209	0.949542	6.68183	0.000515524	0.000726372	0.00510113	0.0358961	0.872327	0.127673	0.002760607	0.008187774	2.95674	2.01446	0	0.7815334	3.634406	1	1	1	1.377289	0.1276734	0.8723266	7.628899	0.005372203	3.634406	0.650769	0.879695	1.06988	1.39966
2000	-17392.55	-17373	-19.54307	11.80418	0.251121	0.255671	0.247048	0.24616	0.1872121	0.0729185	0.149446	1.89599	4.17155	0.000414156	0.000848811	0.0107687	0.0236932	0.486389	0.513611	0.01213383	0.007023592	3.07193	1.82356	0	2.065994	3.566265	1	1	1	1.385272	0.5136111	0.4863889	37.22959	0.005679715	3.566265	0.658043	0.882944	1.06891	1.39011
2100	-17390.79	-17374.54	-16.2429	39.03212	0.24703	0.249062	0.255088	0.24882	0.1432909	0.0994894	0.124064	3.62231	3.19671	0.00039453	0.000491983	0.0143645	0.0126767	0.337821	0.662179	0.05688174	0.007536617	3.09419	1.94454	0	1.033253	3.907682	1	1	1	1.477665	0.6621787	0.3378213	19.81752	0.003965551	3.907682	0.804511	0.940975	1.04441	1.21011
2200	-17385.26	-17373.37	-11.8835	30.94896	0.251963	0.246317	0.254422	0.247299	0.05867485	0.149176	0.169522	5.89251	0.308333	0.000482217	0.000547987	0.0190478	0.0009967	0.798969	0.201031	0.02688922	0.002492953	3.03875	2.0205	0	1.233668	3.893381	1	1	1	1.274637	0.2010314	0.7989686	15.72153	0.00323254	3.893381	0.781659	0.932782	1.04879	1.23677
2300	-17390.55	-17375.13	-15.42088	19.17982	0.255219	0.248132	0.247978	0.248671	0.01932849	0.15743	0.164433	5.76036	1.7552	0.000516434	0.000539406	0.0188963	0.00575775	0.473999	0.526001	0.02327598	0.0018144	3.00861	2.09517	0	0.789067	3.604036	1	1	1	1.276885	0.5260009	0.4739991	75.2959	0.0032804	3.604036	0.726512	0.911748	1.05855	1.30319
