Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5
13700	6	4	3	4	3	3	3	6	3	3
13800	3	4	3	4	3	3	3	3	3	3
13900	3	4	3	4	3	3	3	3	3	3
14000	3	4	3	4	3	3	3	3	3	3
14100	1	4	1	4	3	3	3	1	3	3
14200	6	4	3	4	3	3	3	6	3	3
14300	5	4	1	4	3	3	3	5	3	3
14400	2	4	2	4	3	3	3	2	3	3
14500	5	4	1	4	3	3	3	5	3	3
14600	3	4	3	4	3	3	3	3	3	3
14700	2	4	2	4	3	3	3	2	3	3
14800	2	4	2	4	3	3	3	2	3	3
14900	2	4	2	4	3	3	3	2	3	3
15000	2	4	2	4	3	3	3	2	3	3
15100	2	4	2	4	3	3	3	2	3	3
15200	1	4	2	4	3	3	3	4	3	3
15300	2	4	2	4	3	3	3	2	3	3
15400	2	4	2	4	3	3	3	2	3	3
15500	1	4	1	4	3	3	3	1	3	3
15600	1	4	1	4	3	3	3	1	3	3
15700	1	4	1	4	3	3	3	1	3	3
15800	3	4	3	4	3	3	3	3	3	3
15900	2	4	2	4	3	3	3	2	3	3
16000	2	4	2	4	3	3	3	2	3	3
16100	3	4	3	4	3	3	3	3	3	3
16200	3	4	3	4	3	3	3	3	3	3
16300	3	4	3	4	3	3	3	3	3	3
16400	2	4	2	4	3	3	3	2	3	3
16500	3	4	3	4	3	3	3	3	3	3
16600	1	4	1	4	3	3	3	1	3	3
16700	2	4	2	4	3	3	3	2	3	3
16800	2	4	2	4	3	3	3	2	3	3
16900	3	4	3	4	3	3	3	3	3	3
17000	3	4	3	4	3	3	3	3	3	3
17100	1	4	1	4	3	3	3	1	3	3
17200	4	4	3	4	3	3	3	7	3	3
17300	1	4	1	4	3	3	3	1	3	3
17400	3	4	3	4	3	3	3	3	3	3
17500	1	4	2	4	3	3	3	4	3	3
17600	3	4	3	4	3	3	3	3	3	3
17700	2	4	3	4	3	3	3	6	3	3
17800	3	4	3	4	3	3	3	3	3	3
17900	1	4	1	4	3	3	3	1	3	3
18000	2	4	2	4	3	3	3	2	3	3
18100	2	4	2	4	3	3	3	2	3	3
18200	2	4	2	4	3	3	3	2	3	3
18300	2	4	2	4	3	3	3	2	3	3
18400	1	4	1	4	3	3	3	1	3	3
18500	2	4	2	4	3	3	3	2	3	3
18600	1	4	4	4	3	3	3	4	3	3
18700	1	4	1	4	3	3	3	1	3	3
18800	2	4	2	4	3	3	3	2	3	3
18900	1	4	3	4	3	3	3	5	3	3
19000	3	4	3	4	3	3	3	3	3	3
19100	1	4	1	4	3	3	3	1	3	3
19200	2	4	2	4	3	3	3	2	3	3
19300	1	4	1	4	3	3	3	1	3	3
19400	6	4	2	4	3	3	3	6	3	3
19500	1	4	1	4	3	3	3	1	3	3
19600	2	4	2	4	3	3	3	2	3	3
19700	2	4	2	4	3	3	3	2	3	3
19800	2	4	2	4	3	3	3	2	3	3
19900	2	4	2	4	3	3	3	2	3	3
20000	2	4	2	4	3	3	3	2	3	3
20100	6	4	2	4	3	3	3	6	3	3
20200	1	4	1	4	3	3	3	1	3	3
20300	2	4	2	4	3	3	3	2	3	3
20400	3	4	3	4	3	3	3	3	3	3
20500	1	4	3	4	1	3	3	1	3	3
20600	3	4	3	4	3	3	3	3	3	3
20700	2	4	1	4	3	3	3	4	3	3
20800	4	4	2	4	3	3	3	4	3	3
20900	2	4	5	4	3	3	3	7	3	3
21000	1	4	1	4	3	3	3	1	3	3
21100	2	4	2	4	3	3	3	2	3	3
21200	3	4	3	4	3	3	3	3	3	3
21300	3	4	3	4	3	3	3	3	3	3
21400	3	4	3	4	3	3	3	3	3	3
21500	7	4	3	4	3	3	3	7	3	3
21600	2	4	2	4	3	3	3	2	3	3
21700	3	4	3	4	3	3	3	3	3	3
21800	2	4	2	4	3	3	3	2	3	3
21900	6	4	3	4	3	3	3	6	3	3
22000	3	4	3	4	3	3	3	3	3	3
22100	3	4	3	4	3	3	3	3	3	3
22200	1	4	1	4	3	3	3	1	3	3
22300	3	4	3	4	3	3	3	3	3	3
22400	3	4	3	4	3	3	3	3	3	3
22500	3	4	3	4	3	3	3	3	3	3
22600	1	4	1	4	3	3	3	1	3	3
22700	2	4	2	4	3	3	3	2	3	3
22800	1	4	3	4	1	3	3	1	3	3
22900	3	4	3	4	3	3	3	3	3	3
23000	2	4	3	4	2	3	3	2	3	3
23100	2	4	3	4	2	3	3	2	3	3
23200	3	4	3	4	3	3	3	3	3	3
23300	3	4	3	4	3	3	3	3	3	3
23400	2	4	2	4	3	3	3	2	3	3
23500	2	4	2	4	3	3	3	2	3	3
23600	2	4	2	4	3	3	3	2	3	3
23700	3	4	3	4	3	3	3	3	3	3
23800	3	4	3	4	3	3	3	3	3	3
23900	3	4	3	4	3	3	3	3	3	3
24000	2	4	2	4	3	3	3	2	3	3
24100	5	4	2	4	3	3	3	7	3	3
24200	1	4	1	4	3	3	3	1	3	3
24300	1	4	4	4	3	3	3	4	3	3
24400	3	4	3	4	3	3	3	3	3	3
24500	2	4	2	4	3	3	3	2	3	3
24600	1	4	1	4	3	3	3	1	3	3
24700	3	4	3	4	3	3	3	3	3	3
24800	1	4	1	4	3	3	3	1	3	3
24900	2	4	2	4	3	3	3	2	3	3
25000	2	4	2	4	3	3	3	2	3	3
25100	2	4	2	4	3	3	3	2	3	3
25200	2	4	2	4	3	3	3	2	3	3
25300	1	4	1	4	3	3	3	1	3	3
25400	2	4	2	4	3	3	3	2	3	3
25500	1	4	1	4	3	3	3	1	3	3
25600	1	4	1	4	3	3	3	1	3	3
25700	2	4	2	4	3	3	3	2	3	3
25800	3	4	3	4	3	3	3	3	3	3
25900	2	4	2	4	3	3	3	2	3	3
26000	3	4	7	4	3	3	3	7	3	3
26100	2	4	2	4	3	3	3	2	3	3
26200	1	4	5	4	3	3	3	5	3	3
26300	2	4	2	4	3	3	3	2	3	3
26400	2	4	2	4	3	3	3	2	3	3
26500	1	4	1	4	3	3	3	1	3	3
26600	3	4	3	4	3	3	3	3	3	3
26700	2	4	2	4	3	3	3	2	3	3
26800	1	4	1	4	3	3	3	1	3	3
26900	2	4	2	4	3	3	3	2	3	3
27000	2	4	2	4	3	3	3	2	3	3
27100	1	4	2	4	3	3	3	4	3	3
27200	3	4	3	4	3	3	3	3	3	3
27300	1	4	1	4	3	3	3	1	3	3
27400	1	4	4	4	3	3	3	4	3	3
27500	1	4	1	4	3	3	3	1	3	3
27600	1	4	4	4	3	3	3	4	3	3
27700	2	4	4	4	3	3	3	4	3	3
27800	1	4	1	4	3	3	3	1	3	3
27900	3	4	3	4	3	3	3	3	3	3
28000	2	4	2	4	3	3	3	2	3	3
28100	3	4	3	4	3	3	3	3	3	3
28200	1	4	1	4	3	3	3	1	3	3
28300	2	4	2	4	3	3	3	2	3	3
28400	4	4	2	4	3	3	3	4	3	3
28500	1	4	2	4	3	3	3	4	3	3
28600	2	4	5	4	3	3	3	7	3	3
28700	3	4	3	4	3	3	3	3	3	3
28800	3	4	3	4	3	3	3	3	3	3
28900	1	4	1	4	3	3	3	1	3	3
29000	2	4	2	4	3	3	3	2	3	3
29100	2	4	2	4	3	3	3	2	3	3
29200	2	4	2	4	3	3	3	2	3	3
29300	2	4	3	4	3	3	3	6	3	3
29400	1	4	1	4	3	3	3	1	3	3
29500	7	4	2	4	3	3	3	7	3	3
29600	3	4	3	4	3	3	3	3	3	3
29700	3	4	3	4	3	3	3	3	3	3
29800	2	4	2	4	3	3	3	2	3	3
29900	2	4	2	4	3	3	3	2	3	3
30000	1	4	5	4	3	3	3	5	3	3
30100	2	4	3	4	3	3	3	6	3	3
30200	1	4	7	4	3	3	3	7	3	3
30300	3	4	3	4	3	3	3	3	3	3
30400	3	4	3	4	3	3	3	3	3	3
30500	1	4	1	4	3	3	3	1	3	3
30600	2	4	2	4	3	3	3	2	3	3
30700	2	4	3	4	3	3	3	6	3	3
30800	1	4	1	4	3	3	3	1	3	3
30900	1	4	1	4	3	3	3	1	3	3
31000	3	4	3	4	3	3	3	3	3	3
31100	1	4	1	4	3	3	3	1	3	3
31200	1	4	4	4	3	3	3	4	3	3
31300	3	4	3	4	3	3	3	3	3	3
31400	3	4	6	4	3	3	3	6	3	3
31500	2	4	2	4	3	3	3	2	3	3
31600	4	4	1	4	3	3	3	4	3	3
31700	1	4	1	4	3	3	3	1	3	3
31800	3	4	3	4	3	3	3	3	3	3
31900	2	4	2	4	3	3	3	2	3	3
32000	2	4	2	4	3	3	3	2	3	3
32100	1	4	1	4	3	3	3	1	3	3
32200	1	4	1	4	3	3	3	1	3	3
32300	2	4	3	4	3	3	3	6	3	3
32400	2	4	6	4	3	3	3	6	3	3
32500	2	4	2	4	3	3	3	2	3	3
32600	2	4	6	4	3	3	3	6	3	3
32700	1	4	1	4	3	3	3	1	3	3
32800	1	4	1	4	3	3	3	1	3	3
32900	1	4	1	4	3	3	3	1	3	3
33000	2	4	2	4	3	3	3	2	3	3
33100	2	4	2	4	3	3	3	2	3	3
33200	1	4	1	4	3	3	3	1	3	3
33300	2	4	2	4	3	3	3	2	3	3
33400	1	4	1	4	3	3	3	1	3	3
33500	1	4	1	4	3	3	3	1	3	3
33600	1	4	1	4	3	3	3	1	3	3
33700	4	4	1	4	3	3	3	4	3	3
33800	2	4	2	4	3	3	3	2	3	3
33900	3	4	3	4	3	3	3	3	3	3
34000	1	4	1	4	3	3	3	1	3	3
34100	7	4	2	4	3	3	3	7	3	3
34200	1	4	1	4	3	3	3	1	3	3
34300	2	4	2	4	3	3	3	2	3	3
34400	1	4	1	4	3	3	3	1	3	3
34500	2	4	6	4	3	3	3	6	3	3
34600	2	4	4	4	3	3	3	4	3	3
34700	4	4	2	4	3	3	3	4	3	3
34800	2	4	2	4	3	3	3	2	3	3
34900	3	4	3	4	3	3	3	3	3	3
35000	2	4	2	4	3	3	3	2	3	3
35100	2	4	2	4	3	3	3	2	3	3
35200	1	4	1	4	3	3	3	1	3	3
35300	2	4	1	4	3	3	3	4	3	3
35400	2	4	3	4	3	3	3	6	3	3
