Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rate_multiplier[5]	branch_rate_multiplier[6]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	ingroup_older_island[4]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
1200	-25837.51	-25818.27	-19.2397	49.1488	0.244184	0.246744	0.255313	0.253759	0.05191935	0.340351	0.382445	0.722592	1.51738	1.1788	0.959507	0.00350228	0.00393543	0.00743561	0.0156142	0.01213	0.00987351	0.712422	0.287578	0.02294752	0.004970615	9.98772	8.05251	2.05059	0	1.385924	8.340881	0	1	1	1	2.126829	0.2875777	0.7124223	6.924531	0.01029019	8.653373	0.824961	0.948061	1.04033	1.18665
1300	-25842.83	-25820.41	-22.41198	21.51069	0.246599	0.247453	0.255627	0.250321	0.03642923	0.361491	0.36288	0.741511	1.8231	0.914675	0.572068	0.00331884	0.00333159	0.00680779	0.0167378	0.0083976	0.00525214	0.829367	0.170633	0.0210076	0.008647107	10.0834	7.84501	1.97295	0	1.446237	10.25151	1	1	1	1	1.988926	0.1706327	0.8293673	78.4838	0.00918097	10.25151	0.740784	0.917368	1.05614	1.28571
1400	-25845.99	-25822.05	-23.93453	39.64615	0.244943	0.251296	0.249978	0.253783	0.02769418	0.380592	0.58057	1.12098	2.31247	1.33445	2.55827	0.00231307	0.00352845	0.00681281	0.0140542	0.0081102	0.015548	0.553526	0.446474	0.01169937	0.0009836849	9.87614	8.04629	2.0314	0	0.9572013	9.900726	1	1	1	1	2.000644	0.4464738	0.5535262	28.1014	0.006077567	9.900726	0.805964	0.941486	1.04412	1.20843
1500	-25844.12	-25818.89	-25.22688	32.41191	0.240669	0.249921	0.249724	0.259686	0.1783486	0.479162	0.569789	0.931232	2.07686	1.16105	0.232218	0.00374075	0.00444826	0.00726999	0.0162138	0.00906417	0.00181289	0.0595214	0.940479	0.02825774	0.001794072	10.1452	7.98143	2.07894	0	1.771042	9.382383	0	1	1	1	2.112494	0.9404786	0.05952145	26.24491	0.007806852	9.382383	0.786398	0.934505	1.0479	1.2312
1600	-25840.18	-25818.91	-21.26531	33.24659	0.250472	0.255423	0.245176	0.248928	0.09863406	0.700598	0.817402	0.904269	2.02103	0.893964	0.50758	0.0052641	0.00614174	0.00679443	0.0151854	0.006717	0.00381382	0.424267	0.575733	0.02310188	0.005329131	10.0658	8.12188	1.97112	0	0.9245537	9.328603	0	1	1	1	2.15689	0.5757335	0.4242665	17.94899	0.007513728	9.328603	0.788966	0.935434	1.04741	1.22819
1700	-25841.78	-25821.2	-20.57783	42.76269	0.247373	0.254892	0.245585	0.25215	0.08354872	0.588149	0.613622	0.80454	1.89855	0.699113	0.113996	0.0053743	0.00560706	0.00735161	0.0173483	0.00638825	0.00104165	0.864544	0.135456	0.01400782	0.005938238	9.85972	7.83404	1.89813	0	0.8423329	10.12349	1	1	1	1	2.013212	0.1354558	0.8645442	8.143887	0.00913765	10.12349	0.812867	0.943898	1.04276	1.20048
1800	-25851.75	-25822.72	-29.02982	42.01329	0.243825	0.259512	0.240849	0.255814	0.1623722	0.77315	0.889191	0.956263	2.00532	0.852688	0.537614	0.00572209	0.00658091	0.0070773	0.0148414	0.00631074	0.00397889	0.851459	0.148541	0.07534047	0.008705113	10.2402	8.0211	1.95427	0	2.490899	9.017541	0	1	1	1	2.165476	0.1485408	0.8514592	20.61615	0.007401002	9.426051	0.811275	0.943345	1.04307	1.20231
1900	-25840.75	-25819.14	-21.60911	44.49042	0.25035	0.244618	0.246825	0.258207	0.1486583	1.0071	1.04402	0.698935	1.88024	0.759537	0.451413	0.00832378	0.00862897	0.00577677	0.0155404	0.00627766	0.00373098	0.571436	0.428564	0.03761717	0.002992828	9.95736	8.10325	1.95823	0	0.8010278	10.17527	1	1	1	1	2.206883	0.4285644	0.5714356	8.049796	0.008265107	10.17527	0.816387	0.945118	1.04205	1.19644
2000	-25842.46	-25819.52	-22.94187	21.11783	0.240613	0.252033	0.247282	0.260072	0.02441612	1.17645	1.42459	0.788199	1.86071	0.702869	0.20043	0.00936984	0.0113461	0.00627762	0.0148196	0.00559801	0.00159633	0.781739	0.218261	0.05846698	0.00300205	10.0488	8.01642	1.98127	0	0.8410704	9.916761	0	1	1	1	1.991567	0.2182606	0.7817394	43.49513	0.007964509	9.916761	0.738537	0.916492	1.05653	1.28845
2100	-25846.88	-25818.07	-28.80049	15.00842	0.251793	0.246356	0.249728	0.252122	0.2262192	2.16953	2.56549	0.851324	1.93717	0.619844	0.490464	0.0168683	0.019947	0.00661914	0.0150617	0.00481936	0.00381342	0.896254	0.103746	0.003223099	0.01015128	10.077	7.98233	2.13558	0	1.332595	9.311835	0	1	1	1	2.037022	0.1037461	0.8962539	31.26122	0.007775117	9.566471	0.693601	0.898293	1.06379	1.34432
2200	-25848.19	-25820.82	-27.36295	7.777484	0.24428	0.247634	0.251157	0.25693	0.1857346	1.83918	2.72056	0.877321	1.68896	0.677464	0.748991	0.0145597	0.0215371	0.00694523	0.0133705	0.00536308	0.00592932	0.305427	0.694573	0.01240375	0.005219103	10.0532	8.02803	2.05708	0	0.5417242	9.384004	0	1	1	1	2.016451	0.6945734	0.3054266	81.0159	0.00791641	10.38001	0.587978	0.849994	1.07715	1.48488
2300	-25847.14	-25818.69	-28.45243	9.897775	0.254912	0.248921	0.246797	0.249369	0.1015416	1.83374	2.34725	0.933072	1.99077	0.799704	2.90238	0.0151055	0.0193355	0.00768618	0.016399	0.00658757	0.0239084	0.108803	0.891197	0.05376163	0.003375077	9.98901	8.00141	2.05863	0	0.934974	7.729655	0	0	1	1	2.058362	0.8911968	0.1088032	90.99661	0.008237504	8.148716	0.629771	0.870099	1.07254	1.42759
2400	-25846.68	-25815.56	-31.1201	22.06336	0.243893	0.249824	0.250372	0.255911	0.07476674	2.44619	2.62199	1.41645	2.4266	1.15301	0.463204	0.0147133	0.0157706	0.0085196	0.0145955	0.00693508	0.00278607	0.269414	0.730586	0.1111927	0.002746273	9.9879	7.92192	2.1405	0	1.53661	7.679445	0	0	1	1	2.067812	0.7305856	0.2694144	61.54055	0.006014773	9.126729	0.743847	0.918558	1.05561	1.28198
