Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rate_multiplier[5]	branch_rate_multiplier[6]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	ingroup_older_island[4]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-29721	-29709.86	-11.14525	4.663435	0.441799	0.223494	0.0592146	0.275492	0.007980176	0.291209	0.21825	0.44887	0.199086	0.311029	0.32938	0.00291209	0.0021825	0.0044887	0.00199086	0.00311029	0.0032938	0.0800423	0.919958	0.07212906	0.001	10.0272	8.08655	1.93342	0	0.7216337	6	0	0	1	1	2.165203	0.9199577	0.08004227	0.01	0.01	10	0.487469	0.795422	1.08383	1.63328
100	-25850.25	-25827.95	-22.29799	36.95687	0.243097	0.248892	0.250141	0.25787	0.0903478	0.776241	0.825427	0.996636	0.68311	0.83303	0.670414	0.0100625	0.0107001	0.0129195	0.00885524	0.0107987	0.00869065	0.25684	0.74316	0.0484796	0.01028905	10.1148	7.96182	1.97196	0	1.064544	5.016073	0	0	1	1	2.39999	0.74316	0.25684	72.15517	0.01296311	10.30702	0.799342	0.939148	1.04541	1.2161
200	-25839.23	-25817.01	-22.22066	43.82393	0.250202	0.242802	0.253046	0.25395	0.225063	0.69958	0.716652	0.840338	0.697155	0.878664	0.44003	0.0107006	0.0109617	0.0128535	0.0106635	0.0134398	0.00673056	0.122042	0.877958	0.03667754	0.009622062	10.0823	7.96474	1.92627	0	1.227359	4.857701	0	0	1	1	2.02577	0.8779584	0.1220416	18.98746	0.01529569	10.1075	0.815053	0.944657	1.04232	1.19797
300	-25848.87	-25825.22	-23.64805	25.28037	0.252534	0.246875	0.247577	0.253013	0.07397757	0.910722	0.771212	0.915999	0.57685	1.20857	0.422218	0.0152876	0.0129457	0.0153762	0.00968314	0.0202873	0.00708745	0.231327	0.768673	0.04717506	0.01440759	9.94748	8.07852	1.93723	0	2.328574	3.918586	0	0	1	1	2.039245	0.768673	0.231327	47.66823	0.01678625	9.758671	0.759727	0.924635	1.05281	1.26282
400	-25836.96	-25817.16	-19.80454	16.04631	0.240262	0.254062	0.248518	0.257158	0.0675995	0.642691	0.683131	0.76582	0.6458	0.776795	0.359302	0.01128	0.0119898	0.0134411	0.0113346	0.0136337	0.00630618	0.206963	0.793037	0.05189781	0.002013455	9.94984	7.8623	1.96055	0	1.451467	4.790582	0	0	1	1	2.146947	0.7930373	0.2069627	10.76242	0.01755122	9.773002	0.702906	0.902169	1.06236	1.33257
500	-25837.7	-25815.65	-22.04795	24.19556	0.244774	0.250639	0.247864	0.256723	0.1624679	0.722951	0.888831	0.84335	0.577801	0.930317	0.347614	0.0126085	0.0155015	0.0147083	0.0100771	0.0162251	0.00606252	0.105175	0.894825	0.05834583	0.006185731	9.97668	7.94817	1.81577	0	0.4622757	4.126574	0	0	1	1	2.061288	0.8948249	0.1051751	19.95527	0.01744037	10.02448	0.754712	0.922732	1.05371	1.26885
600	-25835.16	-25817.08	-18.08087	46.08448	0.244096	0.248183	0.25678	0.250941	0.113279	0.485249	0.581239	0.753876	0.331085	0.839812	0.483873	0.0105165	0.0125968	0.0163382	0.00717538	0.0182007	0.0104867	0.985613	0.0143867	0.02934344	0.006946451	10.059	8.02898	1.97159	0	0.461853	3.853208	0	0	1	1	2.099539	0.01438672	0.9856133	21.8096	0.02167233	9.793651	0.819462	0.946178	1.04144	1.19292
700	-25838.27	-25820.32	-17.94898	28.62802	0.246731	0.239963	0.254881	0.258424	0.0885566	0.579391	0.659305	0.92683	0.244684	0.944976	0.572944	0.0132705	0.0151008	0.0212283	0.00560427	0.0216439	0.0131228	0.66645	0.33355	0.003247637	0.0008545493	10.0237	8.07858	1.87511	0	0.5475537	3.16926	0	0	1	1	1.98653	0.3335502	0.6664498	13.34602	0.02290415	9.799491	0.773438	0.929761	1.05032	1.24648
800	-25840.49	-25818.71	-21.78028	32.73465	0.249446	0.246885	0.252482	0.251186	0.03383933	0.773447	0.784328	0.9011	0.489374	0.891886	0.582168	0.0145408	0.0147453	0.0169406	0.00920022	0.0167674	0.0109447	0.112629	0.887371	0.03603446	0.01520064	10.0053	7.91156	1.88718	0	0.4374882	3.591033	0	0	1	1	2.237009	0.8873707	0.1126293	82.00922	0.01879996	8.643614	0.787402	0.934869	1.04771	1.23002
900	-25841.61	-25818.1	-23.51118	41.35595	0.244784	0.249261	0.248969	0.256986	0.1941682	0.767838	0.78401	0.765663	0.449904	0.638339	0.425874	0.0159175	0.0162527	0.0158724	0.00932664	0.0132329	0.00882848	0.183216	0.816784	0.04424288	0.01015051	9.94209	8.04927	1.79332	0	0.3862718	3.891817	0	0	1	1	2.062416	0.8167843	0.1832157	55.48655	0.02073028	9.320663	0.809845	0.942846	1.04336	1.20395
1000	-25837.2	-25818.77	-18.42701	46.12333	0.240451	0.248551	0.254193	0.256805	0.1345017	0.625084	0.612287	0.575575	0.489358	0.5683	0.471448	0.0145942	0.0142954	0.0134383	0.0114253	0.0132684	0.0110072	0.0144032	0.985597	0.04184451	0.008405364	10.0179	7.86875	1.92573	0	1.025693	4.580204	0	0	1	1	2.02046	0.9855968	0.01440322	13.57564	0.02334757	8.319406	0.819535	0.946203	1.04142	1.19284
