Iteration	1	2	3	4	5	6	7	simmap
0	{2,2}	{1,0.979836:5,0.22709:2,0.793075}	{3,0.74669:10,0.338412:14,4.9149}	{4,10}	{2,4}	{14,0.246651:10,3.49332:4,0.260024}	{4,0}	(n3:{4,10},(n2:{3,0.74669:10,0.338412:14,4.9149},(n0:{1,0.979836:5,0.22709:2,0.793075},n1:{2,2}):{2,4}):{14,0.246651:10,3.49332:4,0.260024});
100	{2,0.564538:5,0.00815762:1,0.945924}	{1,0.27541:5,0.127133:1,1.11608}	{3,5.27324:7,0.022296:3,0.284481}	{4,10.4258}	{1,0.0872737:5,0.0131168:2,0.185671:5,0.0263133:2,1.55897:7,0.109591:2,1.57764:7,0.00052222:3,0.50229}	{3,0.981815:7,0.0294105:3,0.542565:7,0.0570227:3,1.59428:10,0.0318766:4,1.60885}	{4,0}	(((n1:{2,0.564538:5,0.00815762:1,0.945924},n0:{1,0.27541:5,0.127133:1,1.11608}):{1,0.0872737:5,0.0131168:2,0.185671:5,0.0263133:2,1.55897:7,0.109591:2,1.57764:7,0.00052222:3,0.50229},n2:{3,5.27324:7,0.022296:3,0.284481}):{3,0.981815:7,0.0294105:3,0.542565:7,0.0570227:3,1.59428:10,0.0318766:4,1.60885},n3:{4,10.4258});
200	{2,1.86928}	{1,0.67049:5,0.0461011:2,1.15269}	{3,2.92059:7,0.212993:2,2.44738}	{4,9.98049}	{2,3.71168}	{2,0.742701:7,0.0342648:3,1.52935:10,0.0337191:4,2.05949}	{4,0}	(((n0:{1,0.67049:5,0.0461011:2,1.15269},n1:{2,1.86928}):{2,3.71168},n2:{3,2.92059:7,0.212993:2,2.44738}):{2,0.742701:7,0.0342648:3,1.52935:10,0.0337191:4,2.05949},n3:{4,9.98049});
300	{0,2.16001:2,0.158122}	{0,2.1344:2,0.18373}	{0,2.16447:3,0.0232086:0,3.47018:2,0.139127}	{0,2.18354:4,0.00413647:0,5.48266:4,0.407403:0,1.78011:4,0.160032:0,0.280157:4,0.00798532}	{0,3.33121:2,0.147644}	{0,2.26546:10,0.0152982:0,1.81444:4,0.125696:0,0.261328:4,0.026815}	{4,0}	((n2:{0,2.16447:3,0.0232086:0,3.47018:2,0.139127},(n1:{0,2.16001:2,0.158122},n0:{0,2.1344:2,0.18373}):{0,3.33121:2,0.147644}):{0,2.26546:10,0.0152982:0,1.81444:4,0.125696:0,0.261328:4,0.026815},n3:{0,2.18354:4,0.00413647:0,5.48266:4,0.407403:0,1.78011:4,0.160032:0,0.280157:4,0.00798532});
400	{2,0.375013:5,0.0425066:2,0.467448:5,0.000975049:1,0.0634876:5,0.0159911:2,0.464535:5,0.0336791:2,0.883328}	{1,0.21498:5,0.0329074:1,1.31331:5,0.00617723:2,0.60644:7,0.0777958:2,0.0953557}	{3,2.24621:7,0.0103503:3,0.342522:7,0.0266187:2,0.199905:7,0.0191188:2,0.13779:7,0.0236385:2,1.30187:7,0.0247296:3,0.118654:7,0.068966:3,0.165394:7,0.0572462:3,0.42063}	{4,8.45445}	{2,0.892454:7,0.041159:2,0.0204833:7,0.0145354:2,1.46842:7,0.00576525:3,0.278783:7,0.00250476:3,0.092574}	{3,0.689457:7,0.00316685:3,0.419895:7,0.00178967:2,1.22266:7,0.0182127:2,0.00315806:7,0.0798168:3,0.3745:10,0.0494627:4,0.428697}	{4,0}	((n2:{3,2.24621:7,0.0103503:3,0.342522:7,0.0266187:2,0.199905:7,0.0191188:2,0.13779:7,0.0236385:2,1.30187:7,0.0247296:3,0.118654:7,0.068966:3,0.165394:7,0.0572462:3,0.42063},(n1:{2,0.375013:5,0.0425066:2,0.467448:5,0.000975049:1,0.0634876:5,0.0159911:2,0.464535:5,0.0336791:2,0.883328},n0:{1,0.21498:5,0.0329074:1,1.31331:5,0.00617723:2,0.60644:7,0.0777958:2,0.0953557}):{2,0.892454:7,0.041159:2,0.0204833:7,0.0145354:2,1.46842:7,0.00576525:3,0.278783:7,0.00250476:3,0.092574}):{3,0.689457:7,0.00316685:3,0.419895:7,0.00178967:2,1.22266:7,0.0182127:2,0.00315806:7,0.0798168:3,0.3745:10,0.0494627:4,0.428697},n3:{4,8.45445});
500	{2,1.44536:5,0.0706554:2,0.108141:5,0.00308907:1,0.211758:5,0.0117491:2,1.11615}	{1,0.120025:5,0.0229905:1,0.586842:5,0.027781:2,0.721696:5,0.0511591:2,0.0602408:5,0.00630069:2,0.221521:5,0.14117:2,0.341374:7,0.0505255:2,0.615279}	{3,2.1673:7,0.00124657:3,0.0156387:7,0.0242324:2,0.378874:7,0.17121:2,0.548215:7,0.0730702:2,1.17545:7,0.00830489:2,0.0141393:7,0.00345978:3,0.0330736:7,0.0367838:3,0.920423:7,0.00195279:3,0.379478:7,0.00954547:3,1.4746:7,0.0345373:3,0.103126}	{4,9.20033}	{2,0.0562512:7,0.0519095:2,0.135782:7,0.00784819:2,0.378495:7,0.0263961:3,0.0958819:7,0.000872449:2,0.101573:7,0.0313761:2,0.320011:7,0.0640458:3,1.69225:7,0.0177295:3,0.698166:7,0.0694876:2,0.252277:7,0.0212788:3,0.58612}	{3,0.750108:10,0.0763711:4,0.799187}	{4,0}	((n2:{3,2.1673:7,0.00124657:3,0.0156387:7,0.0242324:2,0.378874:7,0.17121:2,0.548215:7,0.0730702:2,1.17545:7,0.00830489:2,0.0141393:7,0.00345978:3,0.0330736:7,0.0367838:3,0.920423:7,0.00195279:3,0.379478:7,0.00954547:3,1.4746:7,0.0345373:3,0.103126},(n0:{1,0.120025:5,0.0229905:1,0.586842:5,0.027781:2,0.721696:5,0.0511591:2,0.0602408:5,0.00630069:2,0.221521:5,0.14117:2,0.341374:7,0.0505255:2,0.615279},n1:{2,1.44536:5,0.0706554:2,0.108141:5,0.00308907:1,0.211758:5,0.0117491:2,1.11615}):{2,0.0562512:7,0.0519095:2,0.135782:7,0.00784819:2,0.378495:7,0.0263961:3,0.0958819:7,0.000872449:2,0.101573:7,0.0313761:2,0.320011:7,0.0640458:3,1.69225:7,0.0177295:3,0.698166:7,0.0694876:2,0.252277:7,0.0212788:3,0.58612}):{3,0.750108:10,0.0763711:4,0.799187},n3:{4,9.20033});
600	{2,2.65864}	{1,1.40857:5,0.112443:2,1.13763}	{3,8.14418}	{4,9.63426}	{2,1.10129:7,0.0471179:3,4.33713}	{3,0.2271:10,0.0380738:4,1.22491}	{4,0}	((n2:{3,8.14418},(n0:{1,1.40857:5,0.112443:2,1.13763},n1:{2,2.65864}):{2,1.10129:7,0.0471179:3,4.33713}):{3,0.2271:10,0.0380738:4,1.22491},n3:{4,9.63426});
700	{2,0.727308:5,0.0715511:2,1.71353}	{1,0.680532:5,0.130877:2,1.25375:7,0.0358416:2,0.411389}	{3,2.09867:7,0.202345:2,0.0013488:7,0.0325319:3,0.577549:7,0.0994439:3,5.35996}	{4,9.23628}	{2,4.55135:7,0.132264:2,0.231152:7,0.044735:3,0.899963}	{3,0.390947:10,0.00534136:4,0.46814}	{4,0}	(((n0:{1,0.680532:5,0.130877:2,1.25375:7,0.0358416:2,0.411389},n1:{2,0.727308:5,0.0715511:2,1.71353}):{2,4.55135:7,0.132264:2,0.231152:7,0.044735:3,0.899963},n2:{3,2.09867:7,0.202345:2,0.0013488:7,0.0325319:3,0.577549:7,0.0994439:3,5.35996}):{3,0.390947:10,0.00534136:4,0.46814},n3:{4,9.23628});
800	{2,0.215233:5,0.00379999:2,1.18172:5,0.00798205:1,0.488318:5,0.00882399:1,0.0572119:5,0.00393873:2,0.454661:7,0.00526314:2,1.37317}	{1,0.339988:5,0.000777684:1,0.612668:5,0.0109169:2,0.356936:5,0.00585863:2,0.224865:5,0.00375083:1,0.197121:5,0.0018149:1,0.247292:5,0.00546308:2,0.698408:7,0.0229937:3,0.0209932:7,0.00512669:3,0.882259:7,0.0142024:2,0.0497774:7,0.00143856:2,0.0974635}	{3,2.07761:0,5.5209:2,0.0117669}	{4,2.07761:0,5.77481:4,0.48986}	{0,3.80127:2,0.00889712}	{2,0.0899334:7,0.00674763:3,0.394119:10,0.0361289:4,0.205072}	{4,0}	(((n0:{1,0.339988:5,0.000777684:1,0.612668:5,0.0109169:2,0.356936:5,0.00585863:2,0.224865:5,0.00375083:1,0.197121:5,0.0018149:1,0.247292:5,0.00546308:2,0.698408:7,0.0229937:3,0.0209932:7,0.00512669:3,0.882259:7,0.0142024:2,0.0497774:7,0.00143856:2,0.0974635},n1:{2,0.215233:5,0.00379999:2,1.18172:5,0.00798205:1,0.488318:5,0.00882399:1,0.0572119:5,0.00393873:2,0.454661:7,0.00526314:2,1.37317}):{0,3.80127:2,0.00889712},n2:{3,2.07761:0,5.5209:2,0.0117669}):{2,0.0899334:7,0.00674763:3,0.394119:10,0.0361289:4,0.205072},n3:{4,2.07761:0,5.77481:4,0.48986});
900	{2,0.026172:5,0.0145083:2,0.270379:5,0.0200451:1,0.454024:5,0.0159002:1,0.0957088:5,0.0110279:2,2.02234:7,0.00531185:3,0.365005}	{1,0.0441222:5,0.00955751:2,0.677557:5,0.000432603:1,0.339928:5,0.0263259:1,0.186127:5,0.000586099:1,0.0131648:5,0.00469837:2,0.391631:5,0.00632633:2,0.388201:7,0.0470474:3,0.454227:7,0.0383917:3,0.672097}	{3,2.09586:7,0.0770127:3,0.614728:7,0.00973172:3,1.02203:7,0.0559703:2,0.190262:7,0.0224564:3,0.104542:7,0.0426088:2,0.678614:7,0.00806135:2,1.10192:7,0.0284173:2,0.313062:7,0.0137851:3,2.37341}	{4,9.19802:10,0.0248524:3,0.102348:10,0.0414157:4,0.888678}	{3,0.589549:7,0.0247634:3,0.462974:7,0.0273385:2,0.310793:7,0.00429302:3,0.632114:7,0.0128212:2,0.318019:7,0.0316289:2,0.500648:7,0.00699223:3,1.50046:7,0.00423049:3,0.247076:10,0.00249694:3,0.775871}	{3,0.43257:10,0.000829257:4,0.194992:10,0.0126782:4,0.861762}	{4,0}	((n2:{3,2.09586:7,0.0770127:3,0.614728:7,0.00973172:3,1.02203:7,0.0559703:2,0.190262:7,0.0224564:3,0.104542:7,0.0426088:2,0.678614:7,0.00806135:2,1.10192:7,0.0284173:2,0.313062:7,0.0137851:3,2.37341},(n1:{2,0.026172:5,0.0145083:2,0.270379:5,0.0200451:1,0.454024:5,0.0159002:1,0.0957088:5,0.0110279:2,2.02234:7,0.00531185:3,0.365005},n0:{1,0.0441222:5,0.00955751:2,0.677557:5,0.000432603:1,0.339928:5,0.0263259:1,0.186127:5,0.000586099:1,0.0131648:5,0.00469837:2,0.391631:5,0.00632633:2,0.388201:7,0.0470474:3,0.454227:7,0.0383917:3,0.672097}):{3,0.589549:7,0.0247634:3,0.462974:7,0.0273385:2,0.310793:7,0.00429302:3,0.632114:7,0.0128212:2,0.318019:7,0.0316289:2,0.500648:7,0.00699223:3,1.50046:7,0.00423049:3,0.247076:10,0.00249694:3,0.775871}):{3,0.43257:10,0.000829257:4,0.194992:10,0.0126782:4,0.861762},n3:{4,9.19802:10,0.0248524:3,0.102348:10,0.0414157:4,0.888678});
